1つ	ヒトツ
マグロ	マグロ
マス	マス
マスカット	マスカット
マスク	マスク
マスクメロン	マスクメロン
マダコ	マダコ
マダム	マダム
マッコウクジラ	マッコウクジラ
マッサージ	マッサージ
マット	マット
マツ	マツ
マツバボタン	マツバボタン
マドンナ	マドンナ
ママ	ママ
マムシ	マムシ
マメ	マメ
マヨネーズ	マヨネーズ
マルキシスト	マルキシスト
マルキシズム	マルキシズム
マルソ	マルソ
マルメロ	マルメロ
マン	マン
マンゴ	マンゴ
マンゴスチン	マンゴスチン
マンゴー	マンゴー
マンサク	マンサク
マンジュシャゲ	マンジュシャゲ
マント	マント
マントヒヒ	マントヒヒ
マンホール	マンホール
マンボウ	マンボウ
マーカー	マーカー
マーガリン	マーガリン
ミイラ	ミイラ
ミカン	ミカン
ミジンコ	ミジンコ
ミズキ	ミズキ
ミズバショウ	ミズバショウ
ミチリミチリ	ミチリミチリ
ミヤマキリシマ	ミヤマキリシマ
ミュージカル	ミュージカル
ミルキー	ミルキー
ミルク	ミルク
ミンククジラ	ミンククジラ
ミント	ミント
ムクゲ	ムクゲ
ムクロジ	ムクロジ
ムササビ	ムササビ
ムスタッファ	ムスタッファ
ムツ	ムツ
ムベ	ムベ
ムラサキハシドイ	ムラサキハシドイ
ムロアジ	ムロアジ
ムーンライト	ムーンライト
メジ	メジ
メジャー	メジャー
メタセコイア	メタセコイア
メダカ	メダカ
メチャラクチャラ	メチャラクチャラ
メバチ	メバチ
メバル	メバル
メリンス	メリンス
メレジス	メレジス
メロン	メロン
メンチ	メンチ
メートル法	メートルホウ
メープルシロップ	メープルシロップ
モウセンゴケ	モウセンゴケ
モクセイ	モクセイ
モクレン	モクレン
モグラ	モグラ
モジリアニ	モジリアニ
モダニティ	モダニティ
モチ	モチ
モチノキ	モチノキ
モッコク	モッコク
モデル	モデル
モミ	モミ
モモ	モモ
モモンガ	モモンガ
モモンガー	モモンガー
モルヒネ	モルヒネ
モルモット	モルモット
モロコ	モロコ
モンキー	モンキー
モーニング	モーニング
ヤエザクラ	ヤエザクラ
ヤギ	ヤギ
ヤグルマギク	ヤグルマギク
ヤケクソ	ヤケクソ
ヤソ	ヤソ
ヤツデ	ヤツデ
ヤツメウナギ	ヤツメウナギ
ヤドリギ	ヤドリギ
ヤナギ	ヤナギ
ヤマアラシ	ヤマアラシ
ヤマネコ	ヤマネコ
ヤマブキ	ヤマブキ
ヤマボウシ	ヤマボウシ
ヤマメ	ヤマメ
ヤマモモ	ヤマモモ
ヤマユリ	ヤマユリ
ヤモリ	ヤモリ
ヤリイカ	ヤリイカ
ユウガオ	ユウガオ
ユキジョロウ	ユキジョロウ
ユキノシタ	ユキノシタ
ユキムスメ	ユキムスメ
ユキヤナギ	ユキヤナギ
ユスラウメ	ユスラウメ
ユリ	ユリ
ユーカリ	ユーカリ
ユーミアス	ユーミアス
ヨガ	ヨガ
ヨシノボリ	ヨシノボリ
ヨルガオ	ヨルガオ
ライオン	ライオン
ライチ	ライチ
ライト	ライト
ライフ	ライフ
ライブ	ライブ
ライム	ライム
ライラック	ライラック
ラクダ	ラクダ
ラケット	ラケット
ラズベリー	ラズベリー
ラッコ	ラッコ
ラッセル	ラッセル
ラッパ	ラッパ
ラバ	ラバ
ラフハエル	ラフハエル
ラベンダー	ラベンダー
ラムネ	ラムネ
ラムプシェード	ラムプシェード
ラン	ラン
ランカシャイヤ	ランカシャイヤ
ランプ	ランプ
ラーメン	ラーメン
ラー油	ラーユ
リス	リス
リゾット	リゾット
リチウム	リチウム
リトル	リトル
リュックサック	リュックサック
リョウブ	リョウブ
リラ	リラ
リング	リング
リンゴ	リンゴ
リンドウ	リンドウ
リンネル	リンネル
リーシャス	リーシャス
リーダー	リーダー
リードル	リードル
ルックス	ルックス
ルックバイス	ルックバイス
ルネサンス	ルネサンス
ルバイヤット	ルバイヤット
ルビ	ルビ
ルビー	ルビー
ルポ	ルポ
ルーキー	ルーキー
ルージュ	ルージュ
ルーズリーフ	ルーズリーフ
ルーティング	ルーティング
ルート	ルート
ルーブル	ルーブル
ループ	ループ
ルーペ	ルーペ
ルーム	ルーム
ルール	ルール
ルーレット	ルーレット
レイシ	レイシ
レコード	レコード
レストラン	レストラン
レタス	レタス
レター	レター
レッテル	レッテル
レッド	レッド
レッドカラント	レッドカラント
レブンウスユキソウ	レブンウスユキソウ
レモン	レモン
レモンペッパー	レモンペッパー
レンギョウ	レンギョウ
レンゲソウ	レンゲソウ
レンコオト	レンコオト
レンコン	レンコン
レンズ	レンズ
レール	レール
ロギン	ロギン
ロバ	ロバ
ロマンス	ロマンス
ロース	ロース
ロード	ロード
ワイン	ワイン
ワシ	ワシ
ワスレナグサ	ワスレナグサ
ワッフル	ワッフル
ワニ	ワニ
ワニザメ	ワニザメ
ワニス	ワニス
ワラ	ワラ
ワレモコウ	ワレモコウ
ンバ	ンバ
ー	ー
一ご	イチゴ
一すじ	ヒトスジ
一だ	イチダ
一つ	ヒトツ
一つ一つ	ヒトツヒトツ
一つ穴	ヒトツアナ
一一	ヒトツヒトツ
一七日	ヒトナノカ
一世	イッセイ
一世一代	イッセイチダイ
一両日	イチリョウジツ
一人	カズト
一人ぼっち	ヒトリボッチ
一人前	イチニンマエ
一人天下	ヒトリデンカ
一人娘	ヒトリムスメ
一人物	イチジンブツ
一代	イチダイ
一件	イッケン
一体	イッタイ
一個	イッコ
一円	イチエン
一分	イチブ
一分一厘	イチブイチリン
一切	イッサイ
一切衆生	イッサイシュジョウ
一助	イチジョ
一区切り	ヒトクギリ
一反	イッタン
一口	ヒトクチ
一句	イック
一同	イチドウ
一味徒党	イチミトトウ
一命	イチメイ
一員	イチイン
一場	イチジョウ
一夜	イチヤ
一夜作り	イチヤヅクリ
一大	イチダイ
一大事	イチダイジ
一夫多妻	イップタサイ
一存	イチゾン
一室	イッシツ
一家	イッカ
一寸	イッスン
一寸法師	イッスンボウシ
一対	イッツイ
一巻	イッカン
一帯	イッタイ
一幕	ヒトマク
一年生	イチネンセイ
一心不乱	イッシンフラン
一念	イチネン
一息	ヒトイキ
一意	イチイ
一戸	イチノヘ
一所	イッショ
一所不住	イッショフジュウ
一手	イッテ
一打	イチダ
一挙両得	イッキョリョウトク
一挙手一投足	イッキョシュイットウソク
一文	イチブン
一族	イチゾク
一晩	ヒトバン
一朝	イッチョウ
一朝一夕	イッチョウイッセキ
一本勝負	イッポンショウブ
一束	イッソク
一条	イチジョウ
一杯	イッパイ
一枚岩	イチマイイワ
一概	イチガイ
一樹	イチジュ
一段	イチダン
一毫	イチゴウ
一気	イッキ
一気呵成	イッキカセイ
一流	イチリュウ
一滴	イッテキ
一点	イテン
一片	イッペン
一物	イチモツ
一瓢	イッピョウ
一番槍	イチバンヤリ
一疋	イッピキ
一目散	イチモクサン
一直線	イッチョクセン
一眼	イチガン
一石	ヒトツイシ
一種	イッシュ
一端	イッタン
一等	イットウ
一筋	ヒトスジ
一策	イッサク
一節	イッセツ
一級	イッキュウ
一線	イッセン
一縷	イチル
一群	イチグン
一般	イッパン
一色	イッショク
一葉	イチヨウ
一行	イッコウ
一言	ヒトコト
一言半句	イチゴンハンク
一語	イチゴ
一足	イッソク
一足飛	イッソクトビ
一足飛び	イッソクトビ
一路	イチロ
一身	イッシン
一身上	イッシンジョウ
一軒	イッケン
一軒家	イッケンヤ
一軒屋	イッケンヤ
一辺	イッペン
一通	イッツウ
一通り	ヒトトオリ
一進一退	イッシンイッタイ
一過	イッカ
一道	イチドウ
一部分	イチブブン
一部始終	イチブシジュウ
一重	ヒトエ
一間	イッケン
一隅	イチグウ
一面	イチメン
一面識	イチメンシキ
一顰一笑	イッピンイッショウ
一風	イップウ
一騎当千	イッキトウセン
丁稚	デッチ
七つ	ナナツ
七味	シチミ
七味唐辛子	シチミトウガラシ
七夕	タナバタ
七時	シチジ
七転び八起き	ナナコロビヤオキ
七輪	シチリン
万が一	マンガイチ
万万歳	バンバンザイ
万丈	バンジョウ
万事	バンジ
万人	バンニン
万国	バンコク
万年筆	マンネンヒツ
万歳	バンザイ
万物	バンブツ
万言	マンゲン
万里	バンリ
丈	タケ
三々九度	サンサンクド
三ぜん	サンゼン
三つ	ミッツ
三つや	ミツヤ
三つ子	ミツゴ
三つ葉	ミツバ
三七日	サンシチニチ
三世相	サンゼソウ
三助	サンスケ
三十一文字	ミソヒトモジ
三口	ミツクチ
三味線	シャミセン
三女	サンジョ
三寸	サンズン
三尺	サンジャク
三日月	ミカヅキ
三更	サンコウ
三枚	サンマイ
三枚目	サンマイメ
三毛	ミケ
三流	サンリュウ
三盆	サンボン
三葉	ミツバ
三角	サンカク
三角形	サンカッケイ
三面	サンメン
上	ウエ
上がったり	アガッタリ
上がり	アガリ
上げ	アゲ
上の空	ウワノソラ
上り	ノボリ
上乗	ジョウジョウ
上代	ジョウダイ
上使	ジョウシ
上分別	ジョウフンベツ
上前	ウワマエ
上半身	ジョウハンシン
上司	ジョウシ
上品	ジョウヒン
上家	ウワヤ
上層	ジョウソウ
上席	ジョウセキ
上座	カミザ
上手者	ジョウズモノ
上機嫌	ジョウキゲン
上段	ジョウダン
上流	ジョウリュウ
上白	ジョウハク
上皮	ジョウヒ
上着	ウワギ
上等	ジョウトウ
上策	ジョウサク
上級生	ジョウキュウセイ
上衣	ウワギ
上記	ジョウキ
上達部	カンダチメ
上部	ジョウブ
下	シタ
下げ	サゲ
下り	クダリ
下世話	ゲセワ
下人	ゲニン
下剤	ゲザイ
下士	カシ
下士官	カシカン
下女	ゲジョ
下婢	カヒ
下層	カソウ
下心	シタゴコロ
下敷き	シタジキ
下流	カリュウ
下火	シタビ
下男	ゲナン
下町	シタマチ
下界	ゲカイ
下着	シタギ
下等	カトウ
下記	カキ
下読	シタヨミ
下部	カブ
下隅	シタスミ
下駄	ゲタ
不人情	フニンジョウ
不仕合	フシアワセ
不体裁	フテイサイ
不作	フサク
不便	フベン
不信	フシン
不信任	フシンニン
不備	フビ
不具	フグ
不利益	フリエキ
不即不離	フソクフリ
不可思議	フカシギ
不可測	フカソク
不可解	フカカイ
不合理	フゴウリ
不和	フワ
不器量	ブキリョウ
不埒	フラチ
不始末	フシマツ
不孝	フコウ
不審	フシン
不導体	フドウタイ
不平	フヘイ
不得要領	フトクヨウリョウ
不徳	フトク
不徳義	フトクギ
不愉快	フユカイ
不意	フイ
不慮	フリョ
不承知	フショウチ
不断	フダン
不時	フジ
不死	フシ
不満	フマン
不潔	フケツ
不用意	フヨウイ
不眠	フミン
不肖	フショウ
不言	フゲン
不評判	フヒョウバン
不調法	ブチョウホウ
不賛成	フサンセイ
不道徳	フドウトク
不適	フテキ
不都合	フツゴウ
不面目	フメンボク
不馴れ	フナレ
与太者	ヨタモノ
与太郎	ヨタロウ
丑	ウシ
世	ヨ
世のなか	ヨノナカ
世の中	ヨノナカ
世の常	ヨノツネ
世上	セジョウ
世人	セジン
世尊	セソン
世帯	セタイ
世故	セコ
世渡り	ヨワタリ
世界	セカイ
世界中	セカイジュウ
世紀	セイキ
世話物	セワモノ
世辞	セジ
世間	セケン
世間体	セケンテイ
丘	オカ
両三日	リョウサンニチ
両人	リョウニン
両側	リョウガワ
両君	リョウクン
両国	リョウコク
両天秤	リョウテンビン
両家	リョウケ
両手	リョウテ
両方	リョウホウ
両生類	リョウセイルイ
両目	リョウメ
両端	リョウタン
両者	リョウシャ
両親	リョウシン
両足	リョウアシ
両隣	リョウドナリ
両面	リョウメン
並	ナミ
並び	ナラビ
並べ方	ナラベカタ
中	ナカ
中て	ナカテ
中の間	ナカノマ
中位	チュウイ
中味	ナカミ
中天	チュウテン
中央	チュウオウ
中学	チュウガク
中学校	チュウガッコウ
中学生	チュウガクセイ
中将	チュウジョウ
中層	チュウソウ
中年	チュウネン
中庸	チュウヨウ
中形	チュウガタ
中心	チュウシン
中段	チュウダン
中納言	チュウナゴン
中腹	チュウフク
中途	チュウト
中間	チュウカン
中風	チュウブ
丸	マル
丸み	マルミ
丸坊主	マルボウズ
丸太	マルタ
丸木	マルキ
丸薬	ガンヤク
丹	ニ
丹塗	ニヌリ
主	アルジ
主人	シュジン
主人公	シュジンコウ
主任	シュニン
主客	シュキャク
主従	シュウジュウ
主意	シュイ
主旨	シュシ
主治医	シュジイ
主筆	シュヒツ
主義	シュギ
主観	シュカン
主題	シュダイ
主食	シュショク
丼	ドンブリ
久々	ヒサビサ
久しぶり	ヒサシブリ
久し振り	ヒサシブリ
久留米がすり	クルメガスリ
久遠	クオン
乗り	ノリ
乗り手	ノリテ
乗客	ジョウキャク
乗気	ノリキ
乙	オツ
乙姫	オトヒメ
九時	クジ
乞食	コジキ
乱れ	ミダレ
乱杭	ラングイ
乱麻	ランマ
乳	チチ
乳母	オンバ
乾	イヌイ
乾坤	ケンコン
亀	カメ
亀の甲	カメノコウ
了	リョウ
予備	ヨビ
予審	ヨシン
予算	ヨサン
予防線	ヨボウセン
争い	アラソイ
事	コト
事だい	ジダイ
事件	ジケン
事務	ジム
事務所	ジムショ
事情	ジジョウ
事態	ジタイ
事故	ジコ
事柄	コトガラ
事業	ジギョウ
事物	ジブツ
事理	ジリ
事蹟	ジセキ
事項	ジコウ
二つ	フタツ
二の句	ニノク
二の腕	ニノウデ
二世	ニセイ
二人	フタリ
二八	ニッパチ
二六時中	ニロクジチュウ
二割	フタツワリ
二十歳	ハタチ
二時	ニジ
二束三文	ニソクサンモン
二枚重ね	ニマイガサネ
二男	ジナン
二絃琴	ニゲンキン
二言	ニゴン
云	ウン
五つ	イツツ
五体	ゴタイ
五分	ゴブ
五徳	ゴトク
五感	ゴカン
五時	ゴジ
五行	ゴギョウ
五里霧中	ゴリムチュウ
五重の塔	ゴジュウノトウ
井	イ
井戸	イド
井戸端	イドバタ
些少	サショウ
亜流	アリュウ
亡国	ボウコク
亡者	モウジャ
亡魂	ボウコン
交互	コウゴ
交友	コウユウ
交番	コウバン
交通	コウツウ
交響楽	コウキョウガク
亭	チン
亭主	テイシュ
人	ヒト
人々	ヒトビト
人さし指	ヒトサシユビ
人たち	ヒトタチ
人世	ジンセイ
人中	ヒトナカ
人体	ジンタイ
人出	ヒトデ
人力	ジンリキ
人力車	ジンリキシャ
人参	ニンジン
人口	ジンコウ
人声	ヒトゴエ
人妻	ヒトヅマ
人家	ジンカ
人山	ヒトヤマ
人形	ニンギョウ
人影	ヒトカゲ
人情	ニンジョウ
人手	ヒトデ
人指しゆび	ヒトサシユビ
人指し指	ヒトサシユビ
人数	ニンズウ
人文	ジンブン
人望	ジンボウ
人柄	ヒトガラ
人格	ジンカク
人様	ヒトサマ
人殺し	ヒトゴロシ
人民	ジンミン
人気	ニンキ
人気者	ニンキモノ
人物	ジンブツ
人生	ジンセイ
人目	ヒトメ
人相	ニンソウ
人真似	ヒトマネ
人種	ジンシュ
人聞き	ヒトギキ
人質	ヒトジチ
人足	ニンソク
人通り	ヒトドオリ
人道	ジンドウ
人達	ヒトタチ
人間	ニンゲン
人類	ジンルイ
人馬	ジンバ
人魚	ニンギョ
什麼	インモ
仁	ヒトシ
仁王	ニオウ
仇	キュウ
今しがた	イマシガタ
今し方	イマシガタ
今世紀	コンセイキ
今日様	コンニチサマ
今昔	コンジャク
今更	イマサラ
仏像	ブツゾウ
仏具	ブツグ
仏壇	ブツダン
仏家	ブッケ
仏師	ブッシ
仏教	ブッキョウ
仏語	フツゴ
仏陀	ブツダ
仏頂面	ブッチョウヅラ
仔細	シサイ
仕儀	シギ
仕切	シキリ
仕切り	シキリ
仕合せ	シアワセ
仕打	シウチ
仕掛	シカケ
仕掛け	シカケ
仕来り	シキタリ
仕様	シヨウ
仕立	シタテ
仕立屋	シタテヤ
仕置	シオキ
仕舞	シマイ
仕草	シグサ
他	タ
他人	タニン
他国	タコク
他家	タケ
他殺	タサツ
他県	タケン
他郷	タキョウ
付	ツケ
付く	ツケク
付け	ツケ
付け文	ツケブミ
付箋	フセン
仙人	センニン
仙骨	センコツ
代	ダイ
代だ	ダイダ
代り	カワリ
代わり	カワリ
代価	ダイカ
代官	ダイカン
代数	ダイスウ
代物	シロモノ
代理人	ダイリニン
令夫人	レイフジン
令嬢	レイジョウ
以心伝心	イシンデンシン
仮り	カリ
仮名	カメイ
仮寝	カリネ
仮死	カシ
仮病	ケビョウ
仮説	カセツ
仮面	カメン
仰せ	オオセ
仰向	アオムケ
仰向け	アオムケ
仲	ナカ
仲人	ナコウド
仲働き	ナカバタラキ
仲好	ナカヨシ
仲居	ナカイ
仲店	ナカミセ
仲良し	ナカヨシ
仲見世	ナカミセ
仲間	ナカマ
仲間外れ	ナカマハズレ
件	ケン
任	ニン
任地	ニンチ
任意	ニンイ
任期	ニンキ
企て	クワダテ
伎倆	ギリョウ
休	キュウ
休み	ヤスミ
休暇	キュウカ
会	カイ
会い	カイイ
会場	カイジョウ
会社	カイシャ
伝	ツテ
伝説	デンセツ
伯	ハク
伯父	オジ
伴	トモ
伴侶	ハンリョ
伺い	ウカガイ
似合	ニアイ
似合い	ニアイ
似顔	ニガオ
伽藍	ガラン
位地	イチ
位牌	イハイ
低い	ヒクイ
低木	テイボク
住	ジュウ
住い	スマイ
住人	ジュウニン
住宅	ジュウタク
住居	ジュウキョ
住所	ジュウショ
住持	ジュウジ
住民	ジュウミン
体	カラダ
体たらく	テイタラク
体内	タイナイ
体力	タイリョク
体格	タイカク
体系	タイケイ
体育	タイイク
体裁	テイサイ
体質	タイシツ
体重	タイジュウ
体面	タイメン
何くれ	ナニクレ
何もの	ナニモノ
何ら	ナンラ
何事	ナニゴト
何人	ナニビト
何分	ナニブン
何等	ナンラ
何者	ナニモノ
余り	アマリ
余事	ヨジ
余力	ヨリョク
余地	ヨチ
余念	ヨネン
余所ゆき	ヨソユキ
余所目	ヨソメ
余波	ヨハ
余興	ヨキョウ
余裕	ヨユウ
作	サク
作り	ツクリ
作りごと	ツクリゴト
作中	サクチュウ
作品	サクヒン
作家	サッカ
作戦	サクセン
作法	サホウ
作者	サクシャ
佳人	カジン
佳境	カキョウ
使い	ツカイ
使い方	ツカイカタ
使い道	ツカイミチ
使命	シメイ
使用人	シヨウニン
使者	シシャ
例	レイ
例刻	レイコク
例外	レイガイ
例年	レイネン
例月	レイゲツ
侍	サムライ
侍女	ジジョ
侍従	ジジュウ
侘び	ワビ
供	キョウ
供え	ソナエ
価	アタイ
価値	カチ
価格	カカク
価額	カガク
便	ビン
便り	タヨリ
便宜	ベンギ
便所	ベンジョ
便箋	ビンセン
俎	マナイタ
俗	ゾク
俗事	ゾクジ
俗人	ゾクジン
俗気	ゾクキ
俗物	ゾクブツ
俗称	ゾクショウ
俗耳	ゾクジ
俗語	ゾクゴ
俗諺	ゾクゲン
俗謡	ゾクヨウ
俗骨	ゾッコツ
俚耳	リジ
保険	ホケン
信	シン
信号	シンゴウ
信女	シンニョ
信念	シンネン
信条	シンジョウ
信者	シンジャ
修学旅行	シュウガクリョコウ
修業	シュウギョウ
修身	シュウシン
俳人	ハイジン
俳優	ハイユウ
俳句	ハイク
俳味	ハイミ
俳諧	ハイカイ
俸給	ホウキュウ
倅	セガレ
倉	クラ
倉皇	ソウコウ
個々	ココ
個中	コチュウ
個人	コジン
個性	コセイ
個所	カショ
倍	バイ
候	コウ
借り	カリ
借りて	カリテ
借家	シャクヤ
値段	ネダン
倫理	リンリ
偉人	イジン
偉観	イカン
偏屈	ヘンクツ
偕老同穴	カイロウドウケツ
停車場	テイシャジョウ
健	ケン
健児	ケンジ
健全	ケンゼン
側	ガワ
側面	ソクメン
偶像	グウゾウ
偽	ニセ
偽り	イツワリ
偽善	ギゼン
偽物	ニセモノ
偽筆	ギヒツ
傍	ハタ
傍ら	カタワラ
傍点	ボウテン
傑作	ケッサク
傘	カサ
催し	モヨオシ
催眠	サイミン
傲然	ゴウゼン
傷	キズ
傷み	イタミ
傷口	キズグチ
傾向	ケイコウ
傾城	ケイセイ
僅少	キンショウ
働き	ハタラキ
働き手	ハタラキテ
像	ゾウ
僥倖	ギョウコウ
僧	ソウ
僧侶	ソウリョ
僧堂	ソウドウ
僭上	センジョウ
僻遠	ヘキエン
儀	ギ
儀式	ギシキ
儒家	ジュカ
儒者	ジュシャ
儲け	モウケ
元	モト
元々	モトモト
元祖	ガンソ
元禄	ゲンロク
兄	アニ
兄さん	ニイサン
兄たち	アニタチ
兄妹	キョウダイ
兄弟	キョウダイ
兄弟分	キョウダイブン
兇漢	キョウカン
先	サキ
先ほど	サキホド
先例	センレイ
先君	センクン
先方	センポウ
先生	センセイ
先祖	センゾ
先輩	センパイ
先途	センド
先達て	センダッテ
先鋒	センポウ
光	ヒカリ
光彩	コウサイ
光明	コウミョウ
光景	コウケイ
光来	コウライ
光沢	コウタク
光線	コウセン
光輝	コウキ
克己	コッキ
免	メン
免状	メンジョウ
兎	ウサギ
党	トウ
党勢	トウセイ
党員	トウイン
兜	カブト
入口	イリグチ
入神	ニュウシン
全く	ゼンク
全力	ゼンリョク
全国	ゼンコク
全市	ゼンシ
全智	ゼンチ
全書	ゼンショ
全校	ゼンコウ
全権	ゼンケン
全欧	ゼンオウ
全盛	ゼンセイ
全知全能	ゼンチゼンノウ
全能	ゼンノウ
全身	ゼンシン
全速力	ゼンソクリョク
全集	ゼンシュウ
全面	ゼンメン
八つ	ヤッツ
八つ裂き	ヤツザキ
八丁	ハッチョウ
八分	ハチブ
八分目	ハチブンメ
八千代	ヤチヨ
八卦	ハッケ
八方睨み	ハッポウニラミ
八時	ハチジ
八木	ハチボク
八百屋	ヤオヤ
八重桜	ヤエザクラ
八重歯	ヤエバ
公	オオヤケ
公使	コウシ
公債	コウサイ
公園	コウエン
公徳	コウトク
公民	コウミン
公達	キンダチ
六つ	ムッツ
六尺	ロクシャク
共	トモ
兵	ヘイ
兵児帯	ヘコオビ
兵営	ヘイエイ
兵隊	ヘイタイ
具	グ
具合	グアイ
具合い	グアイ
典	テン
典型	テンケイ
兼ね合い	カネアイ
内	ウチ
内々	ウチウチ
内侍	ナイシ
内外	ナイガイ
内妻	ナイサイ
内実	ナイジツ
内容	ナイヨウ
内幕	ウチマク
内弟子	ウチデシ
内心	ナイシン
内情	ナイジョウ
内所	ナイショ
内緒	ナイショ
内臓	ナイゾウ
内輪	ウチワ
内部	ナイブ
内面	ナイメン
円	エン
円タク	エンタク
円光	エンコウ
円柱	エンチュウ
円転滑脱	エンテンカツダツ
冒頭	ボウトウ
冗談	ジョウダン
写し	ウツシ
写真	シャシン
冤罪	エンザイ
冥々	メイメイ
冥土	メイド
冬	フユ
冬休み	フユヤスミ
冬瓜	トウガ
冬空	フユゾラ
冷	ヒヤ
冷え	ヒエ
冷やし中華	ヒヤシチュウカ
冷奴	ヒヤヤッコ
冷水	レイスイ
冷汗	ヒヤアセ
冷淡	レイタン
冷然	レイゼン
冷風	レイフウ
凌ぎ	シノギ
凡人	ボンジン
凡眼	ボンガン
処	ショ
処士	ショシ
処女	ショジョ
凱歌	ガイカ
凶作	キョウサク
凸レンズ	トツレンズ
凸凹	オウトツ
出	イズル
出し	ダシ
出して	ダシテ
出て	ダシテ
出で立ち	イデタチ
出世間	シュッセケン
出任せ	デマカセ
出先	デサキ
出入口	デイリグチ
出典	シュッテン
出処	シュッショ
出口	イデグチ
出合い頭	デアイガシラ
出来	デキ
出来事	デキゴト
出来合	デキアイ
出来心	デキゴコロ
出来損ない	デキソコナイ
出来栄	デキバエ
出汁	ダシ
出直し	デナオシ
出立	シュッタツ
出自	シュツジ
出身	シュッシン
出鱈目	デタラメ
函	ハコ
刀	カタナ
刃	ハ
刃物	ハモノ
分たい	ブンタイ
分らずや	ワカラズヤ
分り	ワカリ
分前	ワケマエ
分子	ブンシ
分度器	ブンドキ
分明	フンミョウ
分署	ブンショ
分身	ブンシン
分量	ブンリョウ
分際	ブンザイ
切り	キリ
切り身	キリミ
切り通し	キリドオシ
切れ	キレ
切れめ	キレメ
切れ目	キレメ
切先	キッサキ
切売	キリウリ
切手	キッテ
切支丹	キリシタン
切符	キップ
切身	キリミ
刈	カリ
刑	ケイ
刑事	ケイジ
刑務所	ケイムショ
刑罰	ケイバツ
列	レツ
列車	レッシャ
初	ハツ
初夏	ショカ
初対面	ショタイメン
初心	ショシン
初志	ショシ
初恋	ハツコイ
初手	ショテ
初春	ショシュン
初期	ショキ
初版	ショハン
初秋	ショシュウ
初等	ショトウ
判事	ハンジ
判官贔屓	ハンガンビイキ
別	ベツ
別れ	ワカレ
別人	ベツジン
別冊	ベッサツ
別名	ベツメイ
別嬪	ベッピン
別室	ベッシツ
別段	ベツダン
別物	ベツモノ
別種	ベッシュ
別荘	ベッソウ
利	リ
利き	リキ
利口	リコウ
利器	リキ
利子	リシ
利害	リガイ
利己	リコ
利息	リソク
利潤	リジュン
利益	リエキ
利目	キキメ
制帽	セイボウ
制度	セイド
制服	セイフク
刷毛	ハケ
刺	トゲ
刺身	サシミ
刻限	コクゲン
則	ノリ
前かた	マエカタ
前代未聞	ゼンダイミモン
前任	ゼンニン
前例	ゼンレイ
前列	ゼンレツ
前半	ゼンハン
前回	ゼンカイ
前後不覚	ゼンゴフカク
前方	ゼンポウ
前歯	マエバ
前祝	マエイワイ
前科	ゼンカ
前足	マエアシ
前途	ゼント
前面	ゼンメン
前髪	マエガミ
剛	ツヨシ
剛腹	ゴウフク
剣	ケン
剣突	ケンツク
剣舞	ケンブ
剣道	ケンドウ
副詞	フクシ
剰余	ジョウヨ
割	ワリ
割り	ワリ
割前	ワリマエ
割合	ワリアイ
割算	ワリザン
創痕	ソウコン
劇	ゲキ
劇場	ゲキジョウ
劇甚	ゲキジン
劈頭	ヘキトウ
力	チカラ
力ずく	チカラズク
力学	リキガク
力持	チカラモチ
力瘤	チカラコブ
力量	リキリョウ
功	イサオ
功力	クリキ
功徳	クドク
劣	レツ
劣情	レツジョウ
助	スケ
助け	タスケ
助太刀	スケダチ
助平	スケベエ
助役	ジョヤク
助手	ジョシュ
劫	コウ
励み	ハゲミ
労	ロウ
労力	ロウリョク
効	コウ
効力	コウリョク
効果	コウカ
効用	コウヨウ
勃然	ボツゼン
勅使	チョクシ
勇み肌	イサミハダ
勇士	ユウシ
勇気	ユウキ
勇猛	ユウモウ
動き	ウゴキ
動こう	ドウコウ
動悸	ドウキ
動物	ドウブツ
動画	ドウガ
動議	ドウギ
動静	ドウセイ
勘	カン
勝	カチ
勝ち	カチ
勝手口	カッテグチ
勝敗	ショウハイ
勢	ゼイ
勢い	イキオイ
勢力	セイリョク
勢揃	セイゾロイ
勢揃い	セイゾロイ
勤め	ツトメ
勤勉	キンベン
勧工場	カンコウバ
勾配	コウバイ
勿体	モッタイ
匂	ニオイ
匂い	ニオイ
包	ツツミ
包み	ツツミ
包丁	ホウチョウ
匆々	ソウソウ
匕首	ヒシュ
化け物	バケモノ
化の皮	バケノカワ
化学	カガク
化物	バケモノ
北	キタ
北の方	キタノカタ
北側	キタガワ
北国	キタグニ
北方	ホッポウ
北限	ホクゲン
北風	キタカゼ
匙	サジ
区内	クナイ
区切り	クギリ
区域	クイキ
区民	クミン
区点	クテン
医大	イダイ
医学	イガク
医師	イシ
医者	イシャ
匿名	トクメイ
十二分	ジュウニブン
十人十色	ジュウニントイロ
十分	ジュウブン
十字	ジュウジ
十字架	ジュウジカ
十年一日	ジュウネンイチジツ
十文字	ジュウモンジ
十目	ジュウモク
千両	センリョウ
千両箱	センリョウバコ
千代紙	チヨガミ
千円	センエン
千尋	チヒロ
千石船	センゴクブネ
千秋	センシュウ
千載	センザイ
千載一遇	センザイイチグウ
千金	センキン
千鳥	チドリ
午	ウマ
午砲	ゴホウ
半	ハン
半々	ハンハン
半ぺん	ハンペン
半切	ハンセツ
半可通	ハンカツウ
半径	ハンケイ
半日	ハンニチ
半月	ハンツキ
半熟	ハンジュク
半紙	ハンシ
