942.1hPa	キュウヒャクヨンジュウニテンイチヘクトパスカル
京都市本満寺前町	キョウトシホンマンジマエチョウ
京都市本柳水町	キョウトシホンリュウスイチョウ
京都市坊門町	キョウトシボウモンチョウ
京都市坊門中之町	キョウトシボウモンナカノチョウ
京都市卜味金仏町	キョウトシボクミカナブツチョウ
京都市木瓜原町	キョウトシボケハラチョウ
京都市牡丹鉾町	キョウトシボタンボコチョウ
京都市埋蔵文化財研究所	キョウトシマイゾウブンカザイケンキュウショ
京都市埋文研	キョウトシマイブンケン
京都市前之町	キョウトシマエノチョウ
京都市真苧屋町	キョウトシマオヤチョウ
京都市蒔絵屋町	キョウトシマキエヤチョウ
京都市蒔田町	キョウトシマキタチョウ
京都市蒔鳥屋町	キョウトシマキトリヤチョウ
京都市真倉町	キョウトシマクラチョウ
京都市孫橋町	キョウトシマゴハシチョウ
京都市桝形町	キョウトシマスガタチョウ
京都市升屋町	キョウトシマスヤチョウ
京都市桝屋町	キョウトシマスヤチョウ
京都市町頭町	キョウトシマチガシラチョウ
京都市松浦町	キョウトシマツウラチョウ
京都市松尾井戸町	キョウトシマツオイドチョウ
京都市松尾上ノ山町	キョウトシマツオウエノヤマチョウ
京都市松尾木ノ曽町	キョウトシマツオキノソチョウ
京都市松尾鈴川町	キョウトシマツオスズカワチョウ
京都市松尾大利町	キョウトシマツオダイリチョウ
京都市松尾東ノ口町	キョウトシマツオヒガシノクチチョウ
京都市松尾万石町	キョウトシマツオマンゴクチョウ
京都市松蔭町	キョウトシマツカゲチョウ
京都市松川町	キョウトシマツカワチョウ
京都市松ケ崎小竹薮町	キョウトシマツガサキコタケヤブチョウ
京都市松ケ崎西池ノ内町	キョウトシマツガサキニシイケノウチチョウ
京都市松ケ崎東池ノ内町	キョウトシマツガサキヒガシイケノウチチョウ
京都市松ケ崎南池ノ内町	キョウトシマツガサキミナミイケノウチチョウ
京都市松下町	キョウトシマツシタチョウ
京都市松永町	キョウトシマツナガチョウ
京都市松之木町	キョウトシマツノキチョウ
京都市松之下町	キョウトシマツノシタチョウ
京都市松原町	キョウトシマツバラチョウ
京都市松原中之町	キョウトシマツバラナカノチョウ
京都市松室吾田神町	キョウトシマツムロアタガミチョウ
京都市松室荒堀町	キョウトシマツムロアラボリチョウ
京都市松室追上ゲ町	キョウトシマツムロオイアゲチョウ
京都市松室扇田町	キョウトシマツムロオウギダチョウ
京都市松室河原町	キョウトシマツムロカワラチョウ
京都市松室北河原町	キョウトシマツムロキタカワラチョウ
京都市松室庄田町	キョウトシマツムロショウダチョウ
京都市松室地家町	キョウトシマツムロジケチョウ
京都市松室地家山	キョウトシマツムロジケヤマ
京都市松室田中町	キョウトシマツムロタナカチョウ
京都市松室中溝町	キョウトシマツムロナカミゾチョウ
京都市松室山添町	キョウトシマツムロヤマゾエチョウ
京都市松本町	キョウトシマツモトチョウ
京都市松屋町	キョウトシマツヤチョウ
京都市真弓善福	キョウトシマユミゼンプク
京都市真弓八幡町	キョウトシマユミハチマンチョウ
京都市万里小路町	キョウトシマリコウジチョウ
京都市丸木材木町	キョウトシマルキザイモクチョウ
京都市丸太町	キョウトシマルタチョウ
京都市丸屋町	キョウトシマルヤチョウ
京都市円山町	キョウトシマルヤマチョウ
京都市万寿寺町	キョウトシマンジュウジチョウ
京都市万寿寺中之町	キョウトシマンジュウジナカノチョウ
京都市饅頭屋町	キョウトシマンジュウヤチョウ
京都市曼陀羅町	キョウトシマンダラチョウ
京都市御影堂町	キョウトシミエイドウチョウ
京都市御影町	キョウトシミカゲチョウ
京都市御影堂前町	キョウトシミカゲドウマエチョウ
京都市御方紺屋町	キョウトシミカタコンヤチョウ
京都市御倉町	キョウトシミクラチョウ
京都市御陵荒巻町	キョウトシミササギアラマキチョウ
京都市御陵安祥寺町	キョウトシミササギアンショウジチョウ
京都市御陵池堤町	キョウトシミササギイケツツミチョウ
京都市御陵牛尾町	キョウトシミササギウシオチョウ
京都市御陵大岩	キョウトシミササギオオイワ
京都市御陵大谷町	キョウトシミササギオオタニチョウ
京都市御陵大津畑町	キョウトシミササギオオツバタチョウ
京都市御陵岡町	キョウトシミササギオカチョウ
京都市御陵岡ノ西町	キョウトシミササギオカノニシチョウ
京都市御陵上御廟野町	キョウトシミササギカミゴビョウノチョウ
京都市御陵鴨戸町	キョウトシミササギカモトチョウ
京都市御陵久保町	キョウトシミササギクボチョウ
京都市御陵黒岩	キョウトシミササギクロイワ
京都市御陵沢ノ川町	キョウトシミササギサワノカワチョウ
京都市御陵三蔵町	キョウトシミササギサンゾウチョウ
京都市御陵四丁野町	キョウトシミササギシチョウノチョウ
京都市御陵下御廟野町	キョウトシミササギシモゴビョウノチョウ
京都市御陵進藤町	キョウトシミササギシンドウチョウ
京都市御陵田山町	キョウトシミササギタヤマチョウ
京都市御陵檀ノ後	キョウトシミササギダンノウシロ
京都市御陵血洗町	キョウトシミササギチアライチョウ
京都市御陵天徳町	キョウトシミササギテントクチョウ
京都市御陵鳥ノ向町	キョウトシミササギトリノムカイチョウ
京都市御陵中内町	キョウトシミササギナカウチチョウ
京都市御陵中筋町	キョウトシミササギナカスジチョウ
京都市御陵原西町	キョウトシミササギハラニシチョウ
京都市御陵平林町	キョウトシミササギヒラバヤシチョウ
京都市御陵封ジ山町	キョウトシミササギフウジヤマチョウ
京都市御陵別所町	キョウトシミササギベッショチョウ
京都市御陵山ノ谷	キョウトシミササギヤマノタニ
京都市御射山町	キョウトシミサヤマチョウ
京都市三栖町	キョウトシミスチョウ
京都市三栖半町	キョウトシミスハンチョウ
京都市三栖向町	キョウトシミスムコウチョウ
京都市水落町	キョウトシミズオチチョウ
京都市溝前町	キョウトシミゾマエチョウ
京都市三盛町	キョウトシミツモリチョウ
京都市御堂前町	キョウトシミドウマエチョウ
京都市南尼崎町	キョウトシミナミアマガサキチョウ
京都市南伊勢屋町	キョウトシミナミイセヤチョウ
京都市南梅屋町	キョウトシミナミウメヤチョウ
京都市南夷町	キョウトシミナミエビスチョウ
京都市南蟹屋町	キョウトシミナミカニヤチョウ
京都市南兼康町	キョウトシミナミカネヤスチョウ
京都市南瓦町	キョウトシミナミカワラチョウ
京都市南木之元町	キョウトシミナミキノモトチョウ
京都市南京極町	キョウトシミナミキョウゴクチョウ
京都市南区	キョウトシミナミク
京都市南区戒光寺町	キョウトシミナミクカイコウジチョウ
京都市南区上鳥羽麻ノ本	キョウトシミナミクカミトバアサノモト
京都市南区上鳥羽石橋町	キョウトシミナミクカミトバイシバシチョウ
京都市南区上鳥羽岩ノ本町	キョウトシミナミクカミトバイワノモトチョウ
京都市南区上鳥羽卯ノ花	キョウトシミナミクカミトバウノハナ
京都市南区上鳥羽馬廻	キョウトシミナミクカミトバウママワシ
京都市南区上鳥羽大溝	キョウトシミナミクカミトバオオミゾ
京都市南区上鳥羽大柳町	キョウトシミナミクカミトバオオヤナギチョウ
京都市南区上鳥羽戒光	キョウトシミナミクカミトバカイコウ
京都市南区上鳥羽戒光町	キョウトシミナミクカミトバカイコウチョウ
京都市南区上鳥羽金仏	キョウトシミナミクカミトバカナボトケ
京都市南区上鳥羽上調子町	キョウトシミナミクカミトバカミチョウシチョウ
京都市南区上鳥羽鴨田	キョウトシミナミクカミトバカモンデン
京都市南区上鳥羽唐戸町	キョウトシミナミクカミトバカラトチョウ
京都市南区上鳥羽川端町	キョウトシミナミクカミトバカワバタチョウ
京都市南区上鳥羽勧進橋町	キョウトシミナミクカミトバカンジンバシチョウ
京都市南区上鳥羽北戒光町	キョウトシミナミクカミトバキタカイコウチョウ
京都市南区上鳥羽北島田町	キョウトシミナミクカミトバキタシマダチョウ
京都市南区上鳥羽北塔ノ本町	キョウトシミナミクカミトバキタトウノモトチョウ
京都市南区上鳥羽北中ノ坪町	キョウトシミナミクカミトバキタナカノツボチョウ
京都市南区上鳥羽北花名町	キョウトシミナミクカミトバキタハナナチョウ
京都市南区上鳥羽北村山町	キョウトシミナミクカミトバキタムラヤマチョウ
京都市南区上鳥羽清井町	キョウトシミナミクカミトバキヨイチョウ
京都市南区上鳥羽尻切町	キョウトシミナミクカミトバシリキリチョウ
京都市南区上鳥羽菅田町	キョウトシミナミクカミトバスガタチョウ
京都市南区上鳥羽高畠町	キョウトシミナミクカミトバタカハタチョウ
京都市南区上鳥羽大物町	キョウトシミナミクカミトバダイモツチョウ
京都市南区上鳥羽町田	キョウトシミナミクカミトバチョウダ
京都市南区上鳥羽角田町	キョウトシミナミクカミトバツノダチョウ
京都市南区上鳥羽塔ノ本	キョウトシミナミクカミトバトウノモト
京都市南区上鳥羽塔ノ森梅ノ木	キョウトシミナミクカミトバトウノモリウメノキ
京都市南区上鳥羽塔ノ森江川町	キョウトシミナミクカミトバトウノモリエガワチョウ
京都市南区上鳥羽塔ノ森上河原	キョウトシミナミクカミトバトウノモリカミカワラ
京都市南区上鳥羽塔ノ森上開ノ内	キョウトシミナミクカミトバトウノモリカミヒラキノウチ
京都市南区上鳥羽塔ノ森柴東町	キョウトシミナミクカミトバトウノモリシバヒガシチョウ
京都市南区上鳥羽塔ノ森下河原	キョウトシミナミクカミトバトウノモリシモカワラ
京都市南区上鳥羽塔ノ森下開ノ内	キョウトシミナミクカミトバトウノモリシモヒラキノウチ
京都市南区上鳥羽塔ノ森洲崎町	キョウトシミナミクカミトバトウノモリスザキチョウ
京都市南区上鳥羽塔ノ森西河原町	キョウトシミナミクカミトバトウノモリニシガワラチョウ
京都市南区上鳥羽塔ノ森東向町	キョウトシミナミクカミトバトウノモリヒガシムコウチョウ
京都市南区上鳥羽塔ノ森柳原	キョウトシミナミクカミトバトウノモリヤナギハラ
京都市南区上鳥羽塔ノ森四ツ谷町	キョウトシミナミクカミトバトウノモリヨツヤチョウ
京都市南区上鳥羽中河原	キョウトシミナミクカミトバナカガワラ
京都市南区上鳥羽奈須野町	キョウトシミナミクカミトバナスノチョウ
京都市南区上鳥羽苗代町	キョウトシミナミクカミトバナワシロチョウ
京都市南区上鳥羽西浦町	キョウトシミナミクカミトバニシウラチョウ
京都市南区上鳥羽八王神町	キョウトシミナミクカミトバハチオウジンチョウ
京都市南区上鳥羽花名	キョウトシミナミクカミトバハナナ
京都市南区上鳥羽火打形町	キョウトシミナミクカミトバヒウチガタチョウ
京都市南区上鳥羽仏現寺町	キョウトシミナミクカミトバブツゲンジチョウ
京都市南区上鳥羽鉾立町	キョウトシミナミクカミトバホコタテチョウ
京都市南区上鳥羽堀子町	キョウトシミナミクカミトバホリコチョウ
京都市南区上鳥羽南唐戸町	キョウトシミナミクカミトバミナミカラトチョウ
京都市南区上鳥羽南島田町	キョウトシミナミクカミトバミナミシマダチョウ
京都市南区上鳥羽南塔ノ本町	キョウトシミナミクカミトバミナミトウノモトチョウ
京都市南区上鳥羽南中ノ坪町	キョウトシミナミクカミトバミナミナカノツボチョウ
京都市南区上鳥羽南苗代町	キョウトシミナミクカミトバミナミナワシロチョウ
京都市南区上鳥羽南花名町	キョウトシミナミクカミトバミナミハナナチョウ
京都市南区上鳥羽南鉾立町	キョウトシミナミクカミトバミナミホコタテチョウ
京都市南区上鳥羽南村山町	キョウトシミナミクカミトバミナミムラヤマチョウ
京都市南区上鳥羽山ノ本町	キョウトシミナミクカミトバヤマノモトチョウ
京都市南区上鳥羽藁田	キョウトシミナミクカミトバワランデン
京都市南区唐橋赤金町	キョウトシミナミクカラハシアカカネチョウ
京都市南区唐橋芦辺町	キョウトシミナミクカラハシアシベチョウ
京都市南区唐橋井園町	キョウトシミナミクカラハシイソノチョウ
京都市南区唐橋大宮尻町	キョウトシミナミクカラハシオオミヤジリチョウ
京都市南区唐橋門脇町	キョウトシミナミクカラハシカドワキチョウ
京都市南区唐橋川久保町	キョウトシミナミクカラハシカワクボチョウ
京都市南区唐橋経田町	キョウトシミナミクカラハシケイデンチョウ
京都市南区唐橋西寺町	キョウトシミナミクカラハシサイジチョウ
京都市南区唐橋高田町	キョウトシミナミクカラハシタカダチョウ
京都市南区唐橋堂ノ前町	キョウトシミナミクカラハシドウノマエチョウ
京都市南区唐橋西平垣町	キョウトシミナミクカラハシニシヒラガキチョウ
京都市南区唐橋花園町	キョウトシミナミクカラハシハナゾノチョウ
京都市南区唐橋平垣町	キョウトシミナミクカラハシヒラガキチョウ
京都市南区唐橋琵琶町	キョウトシミナミクカラハシビワチョウ
京都市南区唐橋南琵琶町	キョウトシミナミクカラハシミナミビワチョウ
京都市南区唐橋羅城門町	キョウトシミナミクカラハシラジョウモンチョウ
京都市南区吉祥院池田町	キョウトシミナミクキッショウインイケダチョウ
京都市南区吉祥院池田南町	キョウトシミナミクキッショウインイケダミナミチョウ
京都市南区吉祥院池ノ内町	キョウトシミナミクキッショウインイケノウチチョウ
京都市南区吉祥院石原上川原町	キョウトシミナミクキッショウインイシハラカミカワラチョウ
京都市南区吉祥院石原京道町	キョウトシミナミクキッショウインイシハラキョウミチチョウ
京都市南区吉祥院石原町	キョウトシミナミクキッショウインイシハラチョウ
京都市南区吉祥院石原堂ノ後町	キョウトシミナミクキッショウインイシハラドウノウシロチョウ
京都市南区吉祥院石原堂ノ後西町	キョウトシミナミクキッショウインイシハラドウノウシロニシマチ
京都市南区吉祥院石原長田町	キョウトシミナミクキッショウインイシハラナガタチョウ
京都市南区吉祥院石原西ノ開町	キョウトシミナミクキッショウインイシハラニシノヒラキチョウ
京都市南区吉祥院石原西町	キョウトシミナミクキッショウインイシハラニシマチ
京都市南区吉祥院石原野上町	キョウトシミナミクキッショウインイシハラノガミチョウ
京都市南区吉祥院石原橋裏	キョウトシミナミクキッショウインイシハラハシウラ
京都市南区吉祥院石原橋上	キョウトシミナミクキッショウインイシハラハシカミ
京都市南区吉祥院石原東之口	キョウトシミナミクキッショウインイシハラヒガシノクチ
京都市南区吉祥院石原開町	キョウトシミナミクキッショウインイシハラヒラキマチ
京都市南区吉祥院石原南町	キョウトシミナミクキッショウインイシハラミナミチョウ
京都市南区吉祥院石原葭縁	キョウトシミナミクキッショウインイシハラヨシベリ
京都市南区吉祥院石原割畑	キョウトシミナミクキッショウインイシハラワリハタ
京都市南区吉祥院稲葉町	キョウトシミナミクキッショウインイナバチョウ
京都市南区吉祥院井ノ口町	キョウトシミナミクキッショウインイノクチチョウ
京都市南区吉祥院内河原町	キョウトシミナミクキッショウインウチガワラチョウ
京都市南区吉祥院御池町	キョウトシミナミクキッショウインオイケチョウ
京都市南区吉祥院大河原町	キョウトシミナミクキッショウインオオガワラチョウ
京都市南区吉祥院落合町	キョウトシミナミクキッショウインオチアイチョウ
京都市南区吉祥院春日町	キョウトシミナミクキッショウインカスガチョウ
京都市南区吉祥院観音堂町	キョウトシミナミクキッショウインカンノンドウチョウ
京都市南区吉祥院観音堂南町	キョウトシミナミクキッショウインカンノンドウミナミチョウ
京都市南区吉祥院九条町	キョウトシミナミクキッショウインクジョウチョウ
京都市南区吉祥院車道町	キョウトシミナミクキッショウインクルマミチチョウ
京都市南区吉祥院定成町	キョウトシミナミクキッショウインサダナリチョウ
京都市南区吉祥院里ノ内町	キョウトシミナミクキッショウインサトノウチチョウ
京都市南区吉祥院三ノ宮町	キョウトシミナミクキッショウインサンノミヤチョウ
京都市南区吉祥院三ノ宮西町	キョウトシミナミクキッショウインサンノミヤニシマチ
京都市南区吉祥院嶋笠井町	キョウトシミナミクキッショウインシマカサイチョウ
京都市南区吉祥院嶋樫山町	キョウトシミナミクキッショウインシマカタギヤマチョウ
京都市南区吉祥院嶋川原田町	キョウトシミナミクキッショウインシマカワラダチョウ
京都市南区吉祥院嶋高町	キョウトシミナミクキッショウインシマタカマチ
京都市南区吉祥院嶋堤外	キョウトシミナミクキッショウインシマツツミソト
京都市南区吉祥院嶋出在家町	キョウトシミナミクキッショウインシマデザイケチョウ
京都市南区吉祥院嶋堂ノ裏	キョウトシミナミクキッショウインシマドウノウラ
京都市南区吉祥院嶋中ノ島	キョウトシミナミクキッショウインシマナカノシマ
京都市南区吉祥院嶋西浦	キョウトシミナミクキッショウインシマニシウラ
京都市南区吉祥院嶋野間詰町	キョウトシミナミクキッショウインシマノマヅメチョウ
京都市南区吉祥院清水町	キョウトシミナミクキッショウインシミズチョウ
京都市南区吉祥院新田壱ノ段町	キョウトシミナミクキッショウインシンデンイチノダンチョウ
京都市南区吉祥院新田参ノ段町	キョウトシミナミクキッショウインシンデンサンノダンチョウ
京都市南区吉祥院新田下ノ向町	キョウトシミナミクキッショウインシンデンシモノムカイチョウ
京都市南区吉祥院新田弐ノ段町	キョウトシミナミクキッショウインシンデンニノダンチョウ
京都市南区吉祥院菅原町	キョウトシミナミクキッショウインスガハラチョウ
京都市南区吉祥院砂ノ町	キョウトシミナミクキッショウインスナノチョウ
京都市南区吉祥院高畑町	キョウトシミナミクキッショウインタカハタチョウ
京都市南区吉祥院堤外町	キョウトシミナミクキッショウインツツミソトチョウ
京都市南区吉祥院中河原里北町	キョウトシミナミクキッショウインナカガワラサトキタチョウ
京都市南区吉祥院中河原里西町	キョウトシミナミクキッショウインナカガワラサトニシチョウ
京都市南区吉祥院中河原里南町	キョウトシミナミクキッショウインナカガワラサトミナミチョウ
京都市南区吉祥院中河原西屋敷町	キョウトシミナミクキッショウインナカガワラニシヤシキチョウ
京都市南区吉祥院中島町	キョウトシミナミクキッショウインナカジマチョウ
京都市南区吉祥院長田町	キョウトシミナミクキッショウインナガタチョウ
京都市南区吉祥院仁木ノ森町	キョウトシミナミクキッショウインニキノモリチョウ
京都市南区吉祥院西浦町	キョウトシミナミクキッショウインニシウラチョウ
京都市南区吉祥院西定成町	キョウトシミナミクキッショウインニシサダナリチョウ
京都市南区吉祥院西ノ内町	キョウトシミナミクキッショウインニシノウチチョウ
京都市南区吉祥院西ノ庄猪之馬場町	キョウトシミナミクキッショウインニシノショウイノババチョウ
京都市南区吉祥院西ノ庄西浦町	キョウトシミナミクキッショウインニシノショウニシウラチョウ
京都市南区吉祥院西ノ庄西中町	キョウトシミナミクキッショウインニシノショウニシナカチョウ
京都市南区吉祥院西ノ庄東屋敷町	キョウトシミナミクキッショウインニシノショウヒガシヤシキチョウ
京都市南区吉祥院西ノ庄渕ノ西町	キョウトシミナミクキッショウインニシノショウフチノニシチョウ
京都市南区吉祥院西ノ庄向田町	キョウトシミナミクキッショウインニシノショウムカイダチョウ
京都市南区吉祥院西ノ庄門口町	キョウトシミナミクキッショウインニシノショウモングチチョウ
京都市南区吉祥院西ノ茶屋町	キョウトシミナミクキッショウインニシノチャヤチョウ
京都市南区吉祥院這登中町	キョウトシミナミクキッショウインハイノボリナカマチ
京都市南区吉祥院這登西町	キョウトシミナミクキッショウインハイノボリニシマチ
京都市南区吉祥院這登東町	キョウトシミナミクキッショウインハイノボリヒガシマチ
京都市南区吉祥院八反田町	キョウトシミナミクキッショウインハツタンダチョウ
京都市南区吉祥院東浦町	キョウトシミナミクキッショウインヒガシウラチョウ
京都市南区吉祥院東砂ノ町	キョウトシミナミクキッショウインヒガシスナノチョウ
京都市南区吉祥院東前田町	キョウトシミナミクキッショウインヒガシマエダチョウ
京都市南区吉祥院船戸町	キョウトシミナミクキッショウインフナトチョウ
京都市南区吉祥院前河原町	キョウトシミナミクキッショウインマエガワラチョウ
京都市南区吉祥院前田町	キョウトシミナミクキッショウインマエダチョウ
京都市南区吉祥院蒔絵町	キョウトシミナミクキッショウインマキエチョウ
京都市南区吉祥院蒔絵南町	キョウトシミナミクキッショウインマキエミナミチョウ
京都市南区吉祥院政所町	キョウトシミナミクキッショウインマンドコロチョウ
京都市南区吉祥院南落合町	キョウトシミナミクキッショウインミナミオチアイチョウ
京都市南区吉祥院宮ノ西町	キョウトシミナミクキッショウインミヤノニシチョウ
京都市南区吉祥院宮ノ東町	キョウトシミナミクキッショウインミヤノヒガシチョウ
京都市南区吉祥院向田西町	キョウトシミナミクキッショウインムカイダニシチョウ
京都市南区吉祥院向田東町	キョウトシミナミクキッショウインムカイダヒガシチョウ
京都市南区吉祥院流作町	キョウトシミナミクキッショウインリュウサクチョウ
京都市南区九条町	キョウトシミナミククジョウチョウ
京都市南区久世大築町	キョウトシミナミククゼオオツキチョウ
京都市南区久世大薮町	キョウトシミナミククゼオオヤブチョウ
京都市南区久世上久世町	キョウトシミナミククゼカミクゼチョウ
京都市南区久世川原町	キョウトシミナミククゼカワハラチョウ
京都市南区久世高田町	キョウトシミナミククゼタカダチョウ
京都市南区久世築山町	キョウトシミナミククゼツキヤマチョウ
京都市南区久世殿城町	キョウトシミナミククゼトノシロチョウ
京都市南区久世中久世町	キョウトシミナミククゼナカクゼチョウ
京都市南区久世中久町	キョウトシミナミククゼナカヒサチョウ
京都市南区久世東土川町	キョウトシミナミククゼヒガシツチカワチョウ
京都市南区塩屋町	キョウトシミナミクシオヤチョウ
京都市南区大黒町	キョウトシミナミクダイコクチョウ
京都市南区東寺町	キョウトシミナミクトウジチョウ
京都市南区東寺東門前町	キョウトシミナミクトウジヒガシモンゼンチョウ
京都市南区西九条池ノ内町	キョウトシミナミクニシクジョウイケノウチチョウ
京都市南区西九条猪熊町	キョウトシミナミクニシクジョウイノクマチョウ
京都市南区西九条院町	キョウトシミナミクニシクジョウインマチ
京都市南区西九条大国町	キョウトシミナミクニシクジョウオオクニチョウ
京都市南区西九条戒光寺町	キョウトシミナミクニシクジョウカイコウジチョウ
京都市南区西九条春日町	キョウトシミナミクニシクジョウカスガチョウ
京都市南区西九条唐戸町	キョウトシミナミクニシクジョウカラトチョウ
京都市南区西九条唐橋町	キョウトシミナミクニシクジョウカラハシチョウ
京都市南区西九条川原城町	キョウトシミナミクニシクジョウカワラジョウチョウ
京都市南区西九条北ノ内町	キョウトシミナミクニシクジョウキタノウチチョウ
京都市南区西九条小寺町	キョウトシミナミクニシクジョウコデラチョウ
京都市南区西九条御幸田町	キョウトシミナミクニシクジョウゴコウデンチョウ
京都市南区西九条蔵王町	キョウトシミナミクニシクジョウザオウチョウ
京都市南区西九条島町	キョウトシミナミクニシクジョウシママチ
京都市南区西九条菅田町	キョウトシミナミクニシクジョウスガタチョウ
京都市南区西九条高畠町	キョウトシミナミクニシクジョウタカハタチョウ
京都市南区西九条寺ノ前町	キョウトシミナミクニシクジョウテラノマエチョウ
京都市南区西九条豊田町	キョウトシミナミクニシクジョウトヨダチョウ
京都市南区西九条鳥居口町	キョウトシミナミクニシクジョウトリイグチチョウ
京都市南区西九条南田町	キョウトシミナミクニシクジョウナンデンチョウ
京都市南区西九条西蔵王町	キョウトシミナミクニシクジョウニシザオウチョウ
京都市南区西九条西柳ノ内町	キョウトシミナミクニシクジョウニシヤナギノウチチョウ
京都市南区西九条針小路町	キョウトシミナミクニシクジョウハリコウジチョウ
京都市南区西九条比永城町	キョウトシミナミクニシクジョウヒエイジョウチョウ
京都市南区西九条東御幸田町	キョウトシミナミクニシクジョウヒガシゴコウデンチョウ
京都市南区西九条東島町	キョウトシミナミクニシクジョウヒガシシママチ
京都市南区西九条東比永城町	キョウトシミナミクニシクジョウヒガシヒエイジョウチョウ
京都市南区西九条東柳ノ内町	キョウトシミナミクニシクジョウヒガシヤナギノウチチョウ
京都市南区西九条藤ノ木町	キョウトシミナミクニシクジョウフジノキチョウ
京都市南区西九条仏現寺町	キョウトシミナミクニシクジョウブツゲンジチョウ
京都市南区西九条南小路町	キョウトシミナミクニシクジョウミナミコウジチョウ
京都市南区西九条森本町	キョウトシミナミクニシクジョウモリモトチョウ
京都市南区西九条柳ノ内町	キョウトシミナミクニシクジョウヤナギノウチチョウ
京都市南区西九条横町	キョウトシミナミクニシクジョウヨコマチ
京都市南区の町名	キョウトシミナミクノチョウメイ
京都市南区八条内田町	キョウトシミナミクハチジョウウチダチョウ
京都市南区八条町	キョウトシミナミクハチジョウチョウ
京都市南区八条寺内町	キョウトシミナミクハチジョウテラノウチチョウ
京都市南区八条坊門町	キョウトシミナミクハチジョウボウモンチョウ
京都市南区八条源町	キョウトシミナミクハチジョウミナモトチョウ
京都市南区東九条明田町	キョウトシミナミクヒガシクジョウアケタチョウ
京都市南区東九条石田町	キョウトシミナミクヒガシクジョウイシダチョウ
京都市南区東九条宇賀辺町	キョウトシミナミクヒガシクジョウウカベチョウ
京都市南区東九条上御霊町	キョウトシミナミクヒガシクジョウカミゴリョウチョウ
京都市南区東九条上殿田町	キョウトシミナミクヒガシクジョウカミトノダチョウ
京都市南区東九条烏丸町	キョウトシミナミクヒガシクジョウカラスマチョウ
京都市南区東九条河西町	キョウトシミナミクヒガシクジョウカワニシチョウ
京都市南区東九条河辺町	キョウトシミナミクヒガシクジョウカワベチョウ
京都市南区東九条北烏丸町	キョウトシミナミクヒガシクジョウキタカラスマチョウ
京都市南区東九条北河原町	キョウトシミナミクヒガシクジョウキタカワラマチ
京都市南区東九条北松ノ木町	キョウトシミナミクヒガシクジョウキタマツノキチョウ
京都市南区東九条下殿田町	キョウトシミナミクヒガシクジョウシモトノダチョウ
京都市南区東九条中御霊町	キョウトシミナミクヒガシクジョウナカゴリョウチョウ
京都市南区東九条中殿田町	キョウトシミナミクヒガシクジョウナカトノダチョウ
京都市南区東九条中札辻町	キョウトシミナミクヒガシクジョウナカフダノツジチョウ
京都市南区東九条西明田町	キョウトシミナミクヒガシクジョウニシアケタチョウ
京都市南区東九条西岩本町	キョウトシミナミクヒガシクジョウニシイワモトチョウ
京都市南区東九条西河辺町	キョウトシミナミクヒガシクジョウニシカワベチョウ
京都市南区東九条西御霊町	キョウトシミナミクヒガシクジョウニシゴリョウチョウ
京都市南区東九条西山王町	キョウトシミナミクヒガシクジョウニシサンノウチョウ
京都市南区東九条西札辻町	キョウトシミナミクヒガシクジョウニシフダノツジチョウ
京都市南区東九条西山町	キョウトシミナミクヒガシクジョウニシヤマチョウ
京都市南区東九条東岩本町	キョウトシミナミクヒガシクジョウヒガシイワモトチョウ
京都市南区東九条東御霊町	キョウトシミナミクヒガシクジョウヒガシゴリョウチョウ
京都市南区東九条東山王町	キョウトシミナミクヒガシクジョウヒガシサンノウチョウ
京都市南区東九条東札辻町	キョウトシミナミクヒガシクジョウヒガシフダノツジチョウ
京都市南区東九条東松ノ木町	キョウトシミナミクヒガシクジョウヒガシマツノキチョウ
京都市南区東九条松田町	キョウトシミナミクヒガシクジョウマツダチョウ
京都市南区東九条南石田町	キョウトシミナミクヒガシクジョウミナミイシダチョウ
京都市南区東九条南岩本町	キョウトシミナミクヒガシクジョウミナミイワモトチョウ
京都市南区東九条南烏丸町	キョウトシミナミクヒガシクジョウミナミカラスマチョウ
京都市南区東九条南河辺町	キョウトシミナミクヒガシクジョウミナミカワベチョウ
京都市南区東九条南河原町	キョウトシミナミクヒガシクジョウミナミカワラマチ
京都市南区東九条南山王町	キョウトシミナミクヒガシクジョウミナミサンノウチョウ
京都市南区東九条南松田町	キョウトシミナミクヒガシクジョウミナミマツダチョウ
京都市南区東九条南松ノ木町	キョウトシミナミクヒガシクジョウミナミマツノキチョウ
京都市南区東九条室町	キョウトシミナミクヒガシクジョウムロマチ
京都市南区東九条柳下町	キョウトシミナミクヒガシクジョウヤナギノシタチョウ
京都市南区古御旅町	キョウトシミナミクフルオタビチョウ
京都市南区四ツ塚町	キョウトシミナミクヨツヅカチョウ
京都市南車屋町	キョウトシミナミクルマヤチョウ
京都市南小大門町	キョウトシミナミコダイモンチョウ
京都市南西海子町	キョウトシミナミサイカイシチョウ
京都市南佐竹町	キョウトシミナミサタケチョウ
京都市南清水町	キョウトシミナミシミズチョウ
京都市南新在家町	キョウトシミナミシンザイケチョウ
京都市南新地	キョウトシミナミシンチ
京都市南上善寺町	キョウトシミナミジョウゼンジチョウ
京都市南俵町	キョウトシミナミタワラチョウ
京都市南町	キョウトシミナミチョウ
京都市南辻町	キョウトシミナミツジチョウ
京都市南棟梁町	キョウトシミナミトウリョウチョウ
