大戎	オオエビス
大阪市大正区三軒家東	オオサカシタイショウクサンゲンヤヒガシ
大阪市大正区千島	オオサカシタイショウクチシマ
大阪市大正区鶴町	オオサカシタイショウクツルマチ
大阪市大正区平尾	オオサカシタイショウクヒラオ
大阪市大正区船町	オオサカシタイショウクフナマチ
大阪市大正区南恩加島	オオサカシタイショウクミナミオカジマ
大阪市太融寺町	オオサカシタイユウジチョウ
大阪市鷹合	オオサカシタカアイ
大阪市高倉町	オオサカシタカクラチョウ
大阪市高殿	オオサカシタカドノ
大阪市高見	オオサカシタカミ
大阪市田川	オオサカシタガワ
大阪市田川北	オオサカシタガワキタ
大阪市竹島	オオサカシタケシマ
大阪市田島	オオサカシタジマ
大阪市橘	オオサカシタチバナ
大阪市巽北	オオサカシタツミキタ
大阪市巽中	オオサカシタツミナカ
大阪市巽西	オオサカシタツミニシ
大阪市巽東	オオサカシタツミヒガシ
大阪市巽南	オオサカシタツミミナミ
大阪市立葉	オオサカシタテバ
大阪市田中	オオサカシタナカ
大阪市田辺	オオサカシタナベ
大阪市谷町	オオサカシタニマチ
大阪市玉川	オオサカシタマガワ
大阪市玉津	オオサカシタマツ
大阪市玉造	オオサカシタマツクリ
大阪市玉造本町	オオサカシタマツクリホンマチ
大阪市玉造元町	オオサカシタマツクリモトマチ
大阪市玉出中	オオサカシタマデナカ
大阪市玉出西	オオサカシタマデニシ
大阪市玉出東	オオサカシタマデヒガシ
大阪市大国	オオサカシダイコク
大阪市大東町	オオサカシダイトウチョウ
大阪市大道	オオサカシダイドウ
大阪市大桐	オオサカシダイドウ
大阪市大道南	オオサカシダイドウミナミ
大阪市大領	オオサカシダイリョウ
大阪市地域振興会	オオサカシチイキシンコウカイ
大阪市地域女性団体協議会	オオサカシチイキジョセイダンタイキョウギカイ
大阪市千島	オオサカシチシマ
大阪市築港	オオサカシチッコウ
大阪七福神	オオサカシチフクジン
大阪市千舟	オオサカシチブネ
大阪市茶臼山町	オオサカシチャウスヤマチョウ
大阪市茶屋町	オオサカシチャヤマチ
大阪市中央	オオサカシチュウオウ
大阪市中央卸売市場東部市場	オオサカシチュウオウオロシウリイチバトウブシジョウ
大阪市中央卸売市場	オオサカシチュウオウオロシウリシジョウ
大阪市中央卸売市場本場	オオサカシチュウオウオロシウリシジョウホンジョウ
大阪市中央区	オオサカシチュウオウク
大阪市中央区安土町	オオサカシチュウオウクアヅチマチ
大阪市中央区淡路町	オオサカシチュウオウクアワジマチ
大阪市中央区安堂寺町	オオサカシチュウオウクアンドウジマチ
大阪市中央区和泉町	オオサカシチュウオウクイズミマチ
大阪市中央区糸屋町	オオサカシチュウオウクイトヤマチ
大阪市中央区今橋	オオサカシチュウオウクイマバシ
大阪市中央区上汐	オオサカシチュウオウクウエシオ
大阪市中央区上本町西	オオサカシチュウオウクウエホンマチニシ
大阪市中央区上町	オオサカシチュウオウクウエマチ
大阪市中央区内淡路町	オオサカシチュウオウクウチアワジマチ
大阪市中央区内久宝寺町	オオサカシチュウオウクウチキュウホウジマチ
大阪市中央区内平野町	オオサカシチュウオウクウチヒラノマチ
大阪市中央区内本町	オオサカシチュウオウクウチホンマチ
大阪市中央区大阪城	オオサカシチュウオウクオオサカジョウ
大阪市中央区大手通	オオサカシチュウオウクオオテドオリ
大阪市中央区大手前	オオサカシチュウオウクオオテマエ
大阪市中央区瓦町	オオサカシチュウオウクカワラマチ
大阪市中央区瓦屋町	オオサカシチュウオウクカワラヤマチ
大阪市中央区神崎町	オオサカシチュウオウクカンザキチョウ
大阪市中央区北久宝寺町	オオサカシチュウオウクキタキュウホウジマチ
大阪市中央区北新町	オオサカシチュウオウクキタシンマチ
大阪市中央区北浜	オオサカシチュウオウクキタハマ
大阪市中央区北浜東	オオサカシチュウオウクキタハマヒガシ
大阪市中央区久太郎町	オオサカシチュウオウクキュウタロウマチ
大阪市中央区高津	オオサカシチュウオウクコウヅ
大阪市中央区高麗橋	オオサカシチュウオウクコウライバシ
大阪市中央区粉川町	オオサカシチュウオウクコカワチョウ
大阪市中央区石町	オオサカシチュウオウクコクマチ
大阪市中央区材木町	オオサカシチュウオウクザイモクチョウ
大阪市中央区島之内	オオサカシチュウオウクシマノウチ
大阪市中央区島町	オオサカシチュウオウクシママチ
大阪市中央区城見	オオサカシチュウオウクシロミ
大阪市中央区心斎橋筋	オオサカシチュウオウクシンサイバシスジ
大阪市中央区十二軒町	オオサカシチュウオウクジュウニケンチョウ
大阪市中央区千日前	オオサカシチュウオウクセンニチマエ
大阪市中央区船場中央	オオサカシチュウオウクセンバチュウオウ
大阪市中央区宗右衛門町	オオサカシチュウオウクソウエモンチョウ
大阪市中央区谷町	オオサカシチュウオウクタニマチ
大阪市中央区玉造	オオサカシチュウオウクタマツクリ
大阪市中央区釣鐘町	オオサカシチュウオウクツリガネチョウ
大阪市中央区天満橋京町	オオサカシチュウオウクテンマバシキョウマチ
大阪市中央区東平	オオサカシチュウオウクトウヘイ
大阪市中央区常盤町	オオサカシチュウオウクトキワマチ
大阪市中央区徳井町	オオサカシチュウオウクトクイチョウ
大阪市中央区道頓堀	オオサカシチュウオウクドウトンボリ
大阪市中央区道修町	オオサカシチュウオウクドショウマチ
大阪市中央区中寺	オオサカシチュウオウクナカデラ
大阪市中央区難波	オオサカシチュウオウクナンバ
大阪市中央区難波千日前	オオサカシチュウオウクナンバセンニチマエ
大阪市中央区西心斎橋	オオサカシチュウオウクニシシンサイバシ
大阪市中央区日本橋	オオサカシチュウオウクニッポンバシ
大阪市中央区農人橋	オオサカシチュウオウクノウニンバシ
大阪市中央区博労町	オオサカシチュウオウクバクロウマチ
大阪市中央区馬場町	オオサカシチュウオウクバンバチョウ
大阪市中央区東高麗橋	オオサカシチュウオウクヒガシコウライバシ
大阪市中央区東心斎橋	オオサカシチュウオウクヒガシシンサイバシ
大阪市中央区平野町	オオサカシチュウオウクヒラノマチ
大阪市中央区備後町	オオサカシチュウオウクビンゴマチ
大阪市中央区伏見町	オオサカシチュウオウクフシミマチ
大阪市中央区船越町	オオサカシチュウオウクフナコシチョウ
大阪市中央区法円坂	オオサカシチュウオウクホウエンザカ
大阪市中央区本町	オオサカシチュウオウクホンマチ
大阪市中央区本町橋	オオサカシチュウオウクホンマチバシ
大阪市中央区松屋町	オオサカシチュウオウクマツヤマチ
大阪市中央区松屋町住吉	オオサカシチュウオウクマツヤマチスミヨシ
大阪市中央区南久宝寺町	オオサカシチュウオウクミナミキュウホウジマチ
大阪市中央区南新町	オオサカシチュウオウクミナミシンマチ
大阪市中央区南船場	オオサカシチュウオウクミナミセンバ
大阪市中央区南本町	オオサカシチュウオウクミナミホンマチ
大阪市中央区森ノ宮中央	オオサカシチュウオウクモリノミヤチュウオウ
大阪市中央区鎗屋町	オオサカシチュウオウクヤリヤマチ
大阪市中央区龍造寺町	オオサカシチュウオウクリュウゾウジチョウ
大阪市中央公会堂	オオサカシチュウオウコウカイドウ
大阪市中央体育館	オオサカシチュウオウタイイクカン
大阪市長	オオサカシチョウ
大阪市庁	オオサカシチョウ
大阪市庁舎	オオサカシチョウシャ
大阪市長選	オオサカシチョウセン
大阪市長選挙	オオサカシチョウセンキョ
大阪市長特別顧問	オオサカシチョウトクベツコモン
大阪市長杯 世界スーパージュニアテニス選手権大会	オオサカシチョウハイセカイスーパージュニアテニスセンシュケンタイカイ
オオサカシチョウハイセカイスーパージュニアテニスセンシュケンタイカイ	オオサカシチョウハイセカイスーパージュニアテニスセンシュケンタイカイ
大阪市長杯世界スーパージュニアテニス選手権大会	オオサカシチョウハイセカイスーパージュニアテニスセンシュケンタイカイ
大阪市千代崎	オオサカシチヨザキ
大阪市塚本	オオサカシツカモト
大阪市佃	オオサカシツクダ
大阪市常吉	オオサカシツネヨシ
大阪市津守	オオサカシツモリ
大阪市釣鐘町	オオサカシツリガネチョウ
大阪市鶴野町	オオサカシツルノチョウ
大阪市鶴橋	オオサカシツルハシ
大阪市鶴町	オオサカシツルマチ
大阪市鶴見	オオサカシツルミ
大阪市鶴見区	オオサカシツルミク
大阪市鶴見区今津北	オオサカシツルミクイマヅキタ
大阪市鶴見区今津中	オオサカシツルミクイマヅナカ
大阪市鶴見区今津南	オオサカシツルミクイマヅミナミ
大阪市鶴見区鶴見	オオサカシツルミクツルミ
大阪市鶴見区徳庵	オオサカシツルミクトクアン
大阪市鶴見区中茶屋	オオサカシツルミクナカノチャヤ
大阪市鶴見区放出東	オオサカシツルミクハナテンヒガシ
大阪市鶴見区浜	オオサカシツルミクハマ
大阪市鶴見区茨田大宮	オオサカシツルミクマッタオオミヤ
大阪市鶴見区緑	オオサカシツルミクミドリ
大阪市鶴見区諸口	オオサカシツルミクモロクチ
大阪市鶴見区焼野	オオサカシツルミクヤケノ
大阪市鶴見区安田	オオサカシツルミクヤスダ
大阪市鶴見区横堤	オオサカシツルミクヨコヅツミ
大阪市鶴見区緑地公園	オオサカシツルミクリョクチコウエン
大阪市鶴見橋	オオサカシツルミバシ
大阪シティエアターミナル	オオサカシティエアターミナル
大阪シティ信用金庫	オオサカシティシンヨウキンコ
大阪シティ信用金庫スタジアム	オオサカシティシンヨウキンコスタジアム
大阪シティドーム	オオサカシティドーム
大阪シティバス	オオサカシティバス
大阪シティバス井高野営業所	オオサカシティバスイタカノエイギョウショ
大阪シティバス（株）	オオサカシティバスカブシキガイシャ
オオサカシティバスカブシキガイシャ	オオサカシティバスカブシキガイシャ
大阪シティバス(株)	オオサカシティバスカブシキガイシャ
大阪シティバス株式会社	オオサカシティバスカブシキガイシャ
大阪シティバス 株式会社	オオサカシティバスカブシキガイシャ
大阪シティバス （株）	オオサカシティバスカブシキガイシャ
大阪シティバス住之江営業所	オオサカシティバススミノエエイギョウショ
大阪シティバス鶴町営業所	オオサカシティバスツルマチエイギョウショ
大阪シティバス酉島営業所	オオサカシティバストリシマエイギョウショ
大阪シティバス中津営業所	オオサカシティバスナカツエイギョウショ
大阪シティバス守口営業所	オオサカシティバスモリグチエイギョウショ
大阪市帝塚山	オオサカシテヅカヤマ
大阪市帝塚山中	オオサカシテヅカヤマナカ
大阪市帝塚山西	オオサカシテヅカヤマニシ
大阪市帝塚山東	オオサカシテヅカヤマヒガシ
大阪市寺田町	オオサカシテラダチョウ
大阪市天下茶屋	オオサカシテンガチャヤ
大阪市天下茶屋北	オオサカシテンガチャヤキタ
大阪市天下茶屋東	オオサカシテンガチャヤヒガシ
大阪市天神西町	オオサカシテンジンニシマチ
大阪市天神ノ森	オオサカシテンジンノモリ
大阪市天神橋	オオサカシテンジンバシ
大阪市天王寺区	オオサカシテンノウジク
大阪市天王寺区味原町	オオサカシテンノウジクアジハラチョウ
大阪市天王寺区味原本町	オオサカシテンノウジクアジハラホンマチ
大阪市天王寺区生玉町	オオサカシテンノウジクイクタマチョウ
大阪市天王寺区生玉寺町	オオサカシテンノウジクイクタマテラマチ
大阪市天王寺区生玉前町	オオサカシテンノウジクイクタママエマチ
大阪市天王寺区上汐	オオサカシテンノウジクウエシオ
大阪市天王寺区上之宮町	オオサカシテンノウジクウエノミヤチョウ
大阪市天王寺区上本町	オオサカシテンノウジクウエホンマチ
大阪市天王寺区餌差町	オオサカシテンノウジクエサシマチ
大阪市天王寺区逢阪	オオサカシテンノウジクオウサカ
大阪市天王寺区小橋町	オオサカシテンノウジクオバセチョウ
大阪市天王寺区勝山	オオサカシテンノウジクカツヤマ
大阪市天王寺区空清町	オオサカシテンノウジクカラキヨチョウ
大阪市天王寺区空堀町	オオサカシテンノウジクカラホリチョウ
大阪市天王寺区北河堀町	オオサカシテンノウジクキタカワホリチョウ
大阪市天王寺区北山町	オオサカシテンノウジクキタヤマチョウ
大阪市天王寺区国分町	オオサカシテンノウジクコクブチョウ
大阪市天王寺区小宮町	オオサカシテンノウジクコミヤチョウ
大阪市天王寺区細工谷	オオサカシテンノウジクサイクダニ
大阪市天王寺区真田山町	オオサカシテンノウジクサナダヤマチョウ
大阪市天王寺区下寺町	オオサカシテンノウジクシタデラマチ
大阪市天王寺区四天王寺	オオサカシテンノウジクシテンノウジ
大阪市天王寺区清水谷町	オオサカシテンノウジクシミズダニチョウ
大阪市天王寺区下味原町	オオサカシテンノウジクシモアジハラチョウ
大阪市天王寺区真法院町	オオサカシテンノウジクシンポウインチョウ
大阪市天王寺区城南寺町	オオサカシテンノウジクジョウナンテラマチ
大阪市天王寺区玉造本町	オオサカシテンノウジクタマツクリホンマチ
大阪市天王寺区玉造元町	オオサカシテンノウジクタマツクリモトマチ
大阪市天王寺区大道	オオサカシテンノウジクダイドウ
大阪市天王寺区茶臼山町	オオサカシテンノウジクチャウスヤマチョウ
大阪市天王寺区寺田町	オオサカシテンノウジクテラダチョウ
大阪市天王寺区東上町	オオサカシテンノウジクトウジョウチョウ
大阪市天王寺区東高津町	オオサカシテンノウジクヒガシコウヅチョウ
大阪市天王寺区悲田院町	オオサカシテンノウジクヒデンインチョウ
大阪市天王寺区舟橋町	オオサカシテンノウジクフナハシチョウ
大阪市天王寺区堀越町	オオサカシテンノウジクホリコシチョウ
大阪市天王寺区南河堀町	オオサカシテンノウジクミナミカワホリチョウ
大阪市天王寺区夕陽丘町	オオサカシテンノウジクユウヒガオカチョウ
大阪市天王寺区伶人町	オオサカシテンノウジクレイニンチョウ
大阪市天王寺区六万体町	オオサカシテンノウジクロクマンタイチョウ
大阪市天王寺町北	オオサカシテンノウジチョウキタ
大阪市天王寺町南	オオサカシテンノウジチョウミナミ
大阪市天王寺動植物公園事務所	オオサカシテンノウジドウショクブツコウエンジムショ
大阪市天王寺動物園	オオサカシテンノウジドウブツエン
大阪市天王寺動物公園	オオサカシテンノウジドウブツコウエン
大阪市天王田	オオサカシテンノウデン
大阪市天満	オオサカシテンマ
大阪市天満橋	オオサカシテンマバシ
大阪市天満橋京町	オオサカシテンマバシキョウマチ
大阪市出来島	オオサカシデキジマ
大阪市出城	オオサカシデシロ
大阪市電	オオサカシデン
大阪市電市岡車庫	オオサカシデンイチオカシャコ
大阪市電梅田車庫	オオサカシデンウメダシャコ
オオサカシデンキキョクサンビャクガタデンシャ	オオサカシデンキキョクサンビャクガタデンシャ
大阪市電気局300形電車	オオサカシデンキキョクサンビャクガタデンシャ
大阪市電気局200形電車	オオサカシデンキキョクニヒャクガタデンシャ
オオサカシデンキキョクニヒャクガタデンシャ	オオサカシデンキキョクニヒャクガタデンシャ
オオサカシデンキキョクヒャクガタデンシャ	オオサカシデンキキョクヒャクガタデンシャ
大阪市電気局100形電車	オオサカシデンキキョクヒャクガタデンシャ
オオサカシデンキキョクロッピャクガタデンシャ	オオサカシデンキキョクロッピャクガタデンシャ
大阪市電気局600形電車	オオサカシデンキキョクロッピャクガタデンシャ
大阪市電百済線	オオサカシデンクダラセン
大阪市電桜川中之島線	オオサカシデンサクラガワナカノシマセン
大阪市電三軒家新千歳線	オオサカシデンサンゲンヤシンチトセセン
大阪市電15系統	オオサカシデンジュウゴケイトウ
オオサカシデンジュウゴケイトウ	オオサカシデンジュウゴケイトウ
大阪市電17系統	オオサカシデンジュウナナケイトウ
オオサカシデンジュウナナケイトウ	オオサカシデンジュウナナケイトウ
オオサカシデンジュウハチケイトウ	オオサカシデンジュウハチケイトウ
大阪市電18系統	オオサカシデンジュウハチケイトウ
大阪市電14系統	オオサカシデンジュウヨンケイトウ
オオサカシデンジュウヨンケイトウ	オオサカシデンジュウヨンケイトウ
大阪市電16系統	オオサカシデンジュウロクケイトウ
オオサカシデンジュウロクケイトウ	オオサカシデンジュウロクケイトウ
大阪市電城南線	オオサカシデンジョウナンセン
大阪市電曽根崎天満橋筋線	オオサカシデンソネザキテンマバシスジセン
大阪市電谷町線	オオサカシデンタニマチセン
大阪市電谷町寝屋川線	オオサカシデンタニマチネヤガワセン
大阪市電玉造今里線	オオサカシデンタマツクリイマザトセン
大阪市電玉造線	オオサカシデンタマツクリセン
大阪市電玉造森之宮線	オオサカシデンタマツクリモリノミヤセン
大阪市電築港車庫	オオサカシデンチッコウシャコ
大阪市電鶴橋線	オオサカシデンツルハシセン
大阪市電天神橋西筋線	オオサカシデンテンジンバシニシスジセン
大阪市電天王寺車庫	オオサカシデンテンノウジシャコ
大阪市電天王寺大道線	オオサカシデンテンノウジダイドウセン
大阪市電天満今福線	オオサカシデンテンマイマフクセン
大阪市電天満橋善源寺町線	オオサカシデンテンマバシゼンゲンジチョウセン
大阪市電東西線	オオサカシデントウザイセン
大阪市電土佐堀南岸線	オオサカシデントサボリナンガンセン
大阪市電堂島大橋線	オオサカシデンドウジマオオハシセン
大阪市電長柄橋筋線	オオサカシデンナガラバシスジセン
大阪市電難波木津線	オオサカシデンナンバキヅセン
大阪市電南北線支線	オオサカシデンナンホクセンシセン
大阪市電西道頓堀天王寺線	オオサカシデンニシドウトンボリテンノウジセン
大阪市電西野田桜島線	オオサカシデンニシノダサクラジマセン
大阪市電西野田線	オオサカシデンニシノダセン
大阪市電西野田福島線	オオサカシデンニシノダフクシマセン
大阪市電野田線	オオサカシデンノダセン
大阪市電東野田沢上江町線	オオサカシデンヒガシノダカスガエチョウセン
大阪市電福島曽根崎線	オオサカシデンフクシマソネザキセン
大阪市伝法	オオサカシデンポウ
大阪市電松島安治川線	オオサカシデンマツシマアジガワセン
大阪市電港車庫	オオサカシデンミナトシャコ
大阪市電都島車庫	オオサカシデンミヤコジマシャコ
大阪市電都島守口線	オオサカシデンミヤコジマモリグチセン
大阪市東上町	オオサカシトウジョウチョウ
大阪市東平	オオサカシトウヘイ
大阪市兎我野町	オオサカシトガノチョウ
大阪市常盤町	オオサカシトキワマチ
大阪市徳庵	オオサカシトクアン
大阪市徳井町	オオサカシトクイチョウ
大阪市特別顧問	オオサカシトクベツコモン
大阪市特別顧問スタッフ	オオサカシトクベツコモンスタッフ
大阪市土佐堀	オオサカシトサボリ
大阪市都市景観資源	オオサカシトシケイカンシゲン
大阪市殿辻	オオサカシトノツジ
大阪市友渕町	オオサカシトモブチチョウ
大阪市豊崎	オオサカシトヨサキ
大阪市豊里	オオサカシトヨサト
大阪市酉島	オオサカシトリシマ
大阪市道赤川天王寺線	オオサカシドウアカガワテンノウジセン
大阪市道大阪環状線	オオサカシドウオオサカカンジョウセン
大阪市道上新庄生野線	オオサカシドウカミシンジョウイクノセン
大阪市道九条梅田線	オオサカシドウクジョウウメダセン
大阪市道四天王寺巽線	オオサカシドウシテンノウジタツミセン
大阪市同心	オオサカシドウシン
大阪市堂島	オオサカシドウジマ
大阪市堂島浜	オオサカシドウジマハマ
大阪市道築港深江線	オオサカシドウチッコウフカエセン
大阪市道天神橋天王寺線	オオサカシドウテンジンバシテンノウジセン
大阪市道頓堀	オオサカシドウトンボリ
大阪市道中津太子橋線	オオサカシドウナカツタイシバシセン
大阪市道浪速鶴町線	オオサカシドウナニワツルマチセン
大阪市道難波境川線	オオサカシドウナンバサカイガワセン
大阪市道南北線	オオサカシドウナンボクセン
大阪市道福島桜島線	オオサカシドウフクシマサクラジマセン
大阪市道福町浜町線	オオサカシドウフクマチハママチセン
大阪市堂山町	オオサカシドウヤマチョウ
大阪市道路公社	オオサカシドウロコウシャ
大阪市道修町	オオサカシドショウマチ
大阪市内	オオサカシナイ
大阪市中加賀屋	オオサカシナカカガヤ
大阪市中川	オオサカシナカガワ
大阪市中川西	オオサカシナカガワニシ
大阪市中川東	オオサカシナカガワヒガシ
大阪市中崎	オオサカシナカザキ
大阪市中崎西	オオサカシナカザキニシ
大阪市中島	オオサカシナカシマ
大阪市中津	オオサカシナカツ
大阪市中寺	オオサカシナカデラ
大阪市中野	オオサカシナカノ
大阪市中之島	オオサカシナカノシマ
大阪市中茶屋	オオサカシナカノチャヤ
大阪市中野町	オオサカシナカノチョウ
大阪市中浜	オオサカシナカハマ
大阪市中開	オオサカシナカビラキ
大阪市中道	オオサカシナカミチ
大阪市中宮	オオサカシナカミヤ
大阪市中本	オオサカシナカモト
大阪市長居	オオサカシナガイ
大阪市長居球技場	オオサカシナガイキョウギジョウ
大阪市長池町	オオサカシナガイケチョウ
大阪市長居公園	オオサカシナガイコウエン
大阪市長居障害者スポーツセンター	オオサカシナガイショウガイシャスポーツセンター
大阪市長居障がい者スポーツセンター	オオサカシナガイショウガイシャスポーツセンター
大阪市長居西	オオサカシナガイニシ
大阪市長居東	オオサカシナガイヒガシ
大阪市長居陸上競技場	オオサカシナガイリクジョウキョウギジョウ
大阪市長峡町	オオサカシナガオチョウ
大阪市永田	オオサカシナガタ
大阪市長橋	オオサカシナガハシ
大阪市長吉川辺	オオサカシナガヨシカワナベ
大阪市長吉出戸	オオサカシナガヨシデト
大阪市長吉長原	オオサカシナガヨシナガハラ
大阪市長吉長原西	オオサカシナガヨシナガハラニシ
大阪市長吉長原東	オオサカシナガヨシナガハラヒガシ
大阪市長吉六反	オオサカシナガヨシロクタン
大阪市長柄中	オオサカシナガラナカ
大阪市長柄西	オオサカシナガラニシ
大阪市長柄東	オオサカシナガラヒガシ
大阪市流町	オオサカシナガレマチ
大阪市浪速区	オオサカシナニワク
大阪市浪速区芦原	オオサカシナニワクアシハラ
大阪市浪速区稲荷	オオサカシナニワクイナリ
大阪市浪速区恵美須西	オオサカシナニワクエビスニシ
大阪市浪速区恵美須東	オオサカシナニワクエビスヒガシ
大阪市浪速区戎本町	オオサカシナニワクエビスホンマチ
大阪市浪速区木津川	オオサカシナニワクキヅガワ
大阪市浪速区久保吉	オオサカシナニワククボヨシ
大阪市浪速区幸町	オオサカシナニワクサイワイチョウ
大阪市浪速区桜川	オオサカシナニワクサクラガワ
大阪市浪速区塩草	オオサカシナニワクシオクサ
大阪市浪速区敷津西	オオサカシナニワクシキツニシ
大阪市浪速区敷津東	オオサカシナニワクシキツヒガシ
大阪市浪速区下寺	オオサカシナニワクシモデラ
大阪市浪速区立葉	オオサカシナニワクタテバ
大阪市浪速区大国	オオサカシナニワクダイコク
大阪市浪速区浪速西	オオサカシナニワクナニワニシ
大阪市浪速区浪速東	オオサカシナニワクナニワヒガシ
大阪市浪速区難波中	オオサカシナニワクナンバナカ
大阪市浪速区日本橋	オオサカシナニワクニッポンバシ
大阪市浪速区日本橋西	オオサカシナニワクニッポンバシニシ
大阪市浪速区日本橋東	オオサカシナニワクニッポンバシヒガシ
大阪市浪速区湊町	オオサカシナニワクミナトマチ
大阪市浪速区元町	オオサカシナニワクモトマチ
大阪市浪花町	オオサカシナニワチョウ
大阪市浪速西	オオサカシナニワニシ
大阪市浪速東	オオサカシナニワヒガシ
大阪市波除	オオサカシナミヨケ
大阪市南港北	オオサカシナンコウキタ
大阪市南港中央野球場	オオサカシナンコウチュウオウヤキュウジョウ
大阪市南港中	オオサカシナンコウナカ
大阪市南港東	オオサカシナンコウヒガシ
大阪市南港南	オオサカシナンコウミナミ
大阪市難波	オオサカシナンバ
大阪市難波千日前	オオサカシナンバセンニチマエ
大阪市難波中	オオサカシナンバナカ
大阪市南部連続放火事件	オオサカシナンブレンゾクホウカジケン
大阪市新高	オオサカシニイタカ
大阪市における特別区の設置についての投票	オオサカシニオケルトクベツクノセッチニツイテノトウヒョウ
大阪市西淡路	オオサカシニシアワジ
大阪市西今川	オオサカシニシイマガワ
大阪市西加賀屋	オオサカシニシカガヤ
大阪市錦町	オオサカシニシキチョウ
大阪市西区	オオサカシニシク
大阪市西区安治川	オオサカシニシクアジガワ
大阪市西区阿波座	オオサカシニシクアワザ
大阪市西区立売堀	オオサカシニシクイタチボリ
大阪市西区靱本町	オオサカシニシクウツボホンマチ
大阪市西区江戸堀	オオサカシニシクエドボリ
大阪市西区江之子島	オオサカシニシクエノコジマ
大阪市西区川口	オオサカシニシクカワグチ
大阪市西区北堀江	オオサカシニシクキタホリエ
大阪市西区京町堀	オオサカシニシクキョウマチボリ
大阪市西区九条	オオサカシニシククジョウ
大阪市西区九条南	オオサカシニシククジョウミナミ
大阪市西区境川	オオサカシニシクサカイガワ
大阪市西区新町	オオサカシニシクシンマチ
大阪市西九条	オオサカシニシクジョウ
大阪市西区千代崎	オオサカシニシクチヨザキ
大阪市西区土佐堀	オオサカシニシクトサボリ
大阪市西区西本町	オオサカシニシクニシホンマチ
大阪市西区本田	オオサカシニシクホンデン
大阪市西区南堀江	オオサカシニシクミナミホリエ
大阪市西島	オオサカシニシシマ
大阪市西心斎橋	オオサカシニシシンサイバシ
大阪市西住之江	オオサカシニシスミノエ
大阪市西田辺町	オオサカシニシタナベチョウ
大阪市西天満	オオサカシニシテンマ
大阪市西中島	オオサカシニシナカジマ
大阪市西成区	オオサカシニシナリク
大阪市西成区旭	オオサカシニシナリクアサヒ
大阪市西成区岸里	オオサカシニシナリクキシノサト
大阪市西成区岸里東	オオサカシニシナリクキシノサトヒガシ
大阪市西成区北津守	オオサカシニシナリクキタツモリ
大阪市西成区北開	オオサカシニシナリクキタビラキ
大阪市西成区山王	オオサカシニシナリクサンノウ
大阪市西成区潮路	オオサカシニシナリクシオジ
大阪市西成区聖天下	オオサカシニシナリクショウテンシタ
大阪市西成区千本北	オオサカシニシナリクセンボンキタ
大阪市西成区千本中	オオサカシニシナリクセンボンナカ
大阪市西成区千本南	オオサカシニシナリクセンボンミナミ
大阪市西成区太子	オオサカシニシナリクタイシ
大阪市西成区橘	オオサカシニシナリクタチバナ
大阪市西成区玉出中	オオサカシニシナリクタマデナカ
大阪市西成区玉出西	オオサカシニシナリクタマデニシ
大阪市西成区玉出東	オオサカシニシナリクタマデヒガシ
大阪市西成区津守	オオサカシニシナリクツモリ
大阪市西成区鶴見橋	オオサカシニシナリクツルミバシ
大阪市西成区天下茶屋	オオサカシニシナリクテンガチャヤ
大阪市西成区天下茶屋北	オオサカシニシナリクテンガチャヤキタ
大阪市西成区天下茶屋東	オオサカシニシナリクテンガチャヤヒガシ
大阪市西成区天神ノ森	オオサカシニシナリクテンジンノモリ
大阪市西成区出城	オオサカシニシナリクデシロ
大阪市西成区中開	オオサカシニシナリクナカビラキ
大阪市西成区長橋	オオサカシニシナリクナガハシ
大阪市西成区萩之茶屋	オオサカシニシナリクハギノチャヤ
大阪市西成区花園北	オオサカシニシナリクハナゾノキタ
大阪市西成区花園南	オオサカシニシナリクハナゾノミナミ
大阪市西成区梅南	オオサカシニシナリクバイナン
大阪市西成区松	オオサカシニシナリクマツ
大阪市西成区南津守	オオサカシニシナリクミナミツモリ
大阪市西成区南開	オオサカシニシナリクミナミビラキ
大阪市西本町	オオサカシニシホンマチ
大阪市西三国	オオサカシニシミクニ
大阪市西宮原	オオサカシニシミヤハラ
大阪市西淀川区	オオサカシニシヨドガワク
大阪市西淀川区歌島	オオサカシニシヨドガワクウタジマ
大阪市西淀川区大野	オオサカシニシヨドガワクオオノ
大阪市西淀川区大和田	オオサカシニシヨドガワクオオワダ
大阪市西淀川区柏里	オオサカシニシヨドガワクカシワザト
大阪市西淀川区竹島	オオサカシニシヨドガワクタケシマ
大阪市西淀川区千舟	オオサカシニシヨドガワクチブネ
大阪市西淀川区佃	オオサカシニシヨドガワクツクダ
大阪市西淀川区出来島	オオサカシニシヨドガワクデキジマ
大阪市西淀川区中島	オオサカシニシヨドガワクナカシマ
大阪市西淀川区西島	オオサカシニシヨドガワクニシシマ
大阪市西淀川区野里	オオサカシニシヨドガワクノザト
大阪市西淀川区花川	オオサカシニシヨドガワクハナカワ
大阪市西淀川区姫里	オオサカシニシヨドガワクヒメサト
大阪市西淀川区姫島	オオサカシニシヨドガワクヒメシマ
大阪市西淀川区百島	オオサカシニシヨドガワクヒャクシマ
大阪市西淀川区福町	オオサカシニシヨドガワクフクマチ
大阪市西淀川区御幣島	オオサカシニシヨドガワクミテジマ
大阪市西脇	オオサカシニシワキ
大阪市日本橋	オオサカシニッポンバシ
大阪市日本橋西	オオサカシニッポンバシニシ
大阪市日本橋東	オオサカシニッポンバシヒガシ
