国鉄球団	コクテツキュウダン
小倉清水郵便局	コクラキヨミズユウビンキョク
小倉祇園太鼓	コクラギオンダイコ
小倉区	コクラク
小倉空襲	コクラクウシュウ
小倉競馬場	コクラケイバジョウ
小倉競輪	コクラケイリン
小倉競輪場	コクラケイリンジョウ
小倉県	コクラケン
小倉港	コクラコウ
小倉興産	コクラコウサン
小倉興産(株)	コクラコウサンカブシキガイシャ
コクラコウサンカブシキガイシャ	コクラコウサンカブシキガイシャ
小倉興産 （株）	コクラコウサンカブシキガイシャ
小倉興産 株式会社	コクラコウサンカブシキガイシャ
小倉興産（株）	コクラコウサンカブシキガイシャ
小倉興産株式会社	コクラコウサンカブシキガイシャ
小倉航路	コクラコウロ
小倉サマージャンプ	コクラサマージャンプ
小倉沙耶	コクラサヤ
小倉三冠	コクラサンカン
コクラサンサイステークス	コクラサンサイステークス
小倉3歳S	コクラサンサイステークス
小倉3歳s	コクラサンサイステークス
小倉市	コクラシ
小倉市警察	コクラシケイサツ
小倉障害ステークス	コクラショウガイステークス
小倉昭和館	コクラショウワカン
小倉城	コクラジョウ
小倉すな緒	コクラスナオ
コクラセ	コクラセ
小倉製鉄所	コクラセイテツショ
こくらせん	コクラセン
コクラ線	コクラセン
コクラセン	コクラセン
小倉セン	コクラセン
こくら線	コクラセン
小倉せん	コクラセン
小倉線	コクラセン
小倉総合車両センター	コクラソウゴウシャリョウセンター
小倉玉屋	コクラタマヤ
小倉タワー	コクラタワー
小倉ターフ賞	コクラターフショウ
小倉大賞典	コクラダイショウテン
小倉駐屯地	コクラチュウトンチ
小倉鉄道株式会社	コクラテツドウカブシキガイシャ
小倉電気軌道	コクラデンキキドウ
小倉電気軌道の電車	コクラデンキキドウノデンシャ
コクラニサイステークス	コクラニサイステークス
小倉2歳ステークス	コクラニサイステークス
小倉2歳s	コクラニサイステークス
小倉2歳S	コクラニサイステークス
小倉西郵便局	コクラニシユウビンキョク
小倉日記	コクラニッキ
小倉日新館中学校	コクラニッシンカンチュウガッコウ
孤蔵乃	コクラノ
小倉発電所	コクラハツデンショ
小倉治喜	コクラハルヨシ
小倉藩	コクラハン
小倉ひかり	コクラヒカリ
こくらひがし	コクラヒガシ
小倉東	コクラヒガシ
小倉東インター	コクラヒガシインター
小倉東インターチェンジ	コクラヒガシインターチェンジ
小倉碑文	コクラヒブン
小倉博和	コクラヒロカズ
小倉豊楽園球場	コクラホウラクエンキュウジョウ
小倉南	コクラミナミ
小倉南インター	コクラミナミインター
小倉南インターチェンジ	コクラミナミインターチェンジ
小倉南区	コクラミナミク
小倉南区安部山	コクラミナミクアベヤマ
小倉南区石田町	コクラミナミクイシダマチ
小倉南区石田南	コクラミナミクイシダミナミ
小倉南区石原町	コクラミナミクイシハラマチ
小倉南区市丸	コクラミナミクイチマル
小倉南区井手浦	コクラミナミクイデウラ
小倉南区合馬	コクラミナミクオウマ
小倉南区長行	コクラミナミクオサユキ
小倉南区長行西	コクラミナミクオサユキニシ
小倉南区長行東	コクラミナミクオサユキヒガシ
小倉南区隠蓑	コクラミナミクカクレミノ
小倉南区頂吉	コクラミナミクカグメヨシ
小倉南区上石田	コクラミナミクカミイシダ
小倉南区上葛原	コクラミナミクカミクズハラ
小倉南区上曽根	コクラミナミクカミソネ
小倉南区上曽根新町	コクラミナミクカミソネシンマチ
小倉南区上貫	コクラミナミクカミヌキ
小倉南区上吉田	コクラミナミクカミヨシダ
小倉南区蒲生	コクラミナミクガモウ
小倉南区企救丘	コクラミナミクキクガオカ
小倉南区北方	コクラミナミクキタガタ
小倉南区木下	コクラミナミクキノシタ
小倉南区議会	コクラミナミクギカイ
小倉南区議会議員	コクラミナミクギカイギイン
小倉南区議会議員補欠選挙	コクラミナミクギカイギインホケツセンキョ
小倉南区空港北町	コクラミナミククウコウキタマチ
小倉南区朽網	コクラミナミククサミ
小倉南区朽網西	コクラミナミククサミニシ
小倉南区朽網東	コクラミナミククサミヒガシ
小倉南区葛原	コクラミナミククズハラ
小倉南区葛原高松	コクラミナミククズハラタカマツ
小倉南区葛原東	コクラミナミククズハラヒガシ
小倉南区葛原本町	コクラミナミククズハラホンマチ
小倉南区葛原元町	コクラミナミククズハラモトマチ
小倉南区小森	コクラミナミクコモリ
小倉南区志井	コクラミナミクシイ
小倉南区志井公園	コクラミナミクシイコウエン
小倉南区志井鷹羽台	コクラミナミクシイタカハダイ
小倉南区重住	コクラミナミクシゲズミ
小倉南区志徳	コクラミナミクシトク
小倉南区下石田	コクラミナミクシモイシダ
小倉南区下城野	コクラミナミクシモジョウノ
小倉南区下曽根	コクラミナミクシモソネ
小倉南区下曽根新町	コクラミナミクシモソネシンマチ
小倉南区下貫	コクラミナミクシモヌキ
小倉南区下南方	コクラミナミクシモミナミガタ
小倉南区下吉田	コクラミナミクシモヨシダ
小倉南区新曽根	コクラミナミクシンソネ
小倉南区新道寺	コクラミナミクシンドウジ
小倉南区城野	コクラミナミクジョウノ
小倉南区星和台	コクラミナミクセイワダイ
小倉南区曽根	コクラミナミクソネ
小倉南区曽根北町	コクラミナミクソネキタマチ
小倉南区曽根新田	コクラミナミクソネシンデン
小倉南区曽根新田北	コクラミナミクソネシンデンキタ
小倉南区曽根新田南	コクラミナミクソネシンデンミナミ
小倉南区高津尾	コクラミナミクタカツオ
小倉南区高野	コクラミナミクタカノ
小倉南区田代	コクラミナミクタシロ
小倉南区田原	コクラミナミクタハラ
小倉南区田原新町	コクラミナミクタハラシンマチ
小倉南区長	コクラミナミクチョウ
小倉南区長選	コクラミナミクチョウセン
小倉南区長選挙	コクラミナミクチョウセンキョ
小倉南区辻三	コクラミナミクツジミツ
小倉南区津田	コクラミナミクツダ
小倉南区津田新町	コクラミナミクツダシンマチ
小倉南区津田南町	コクラミナミクツダミナミマチ
小倉南区徳吉	コクラミナミクトクヨシ
小倉南区徳吉西	コクラミナミクトクヨシニシ
小倉南区徳吉東	コクラミナミクトクヨシヒガシ
小倉南区徳吉南	コクラミナミクトクヨシミナミ
小倉南区徳力	コクラミナミクトクリキ
小倉南区徳力新町	コクラミナミクトクリキシンマチ
小倉南区徳力団地	コクラミナミクトクリキダンチ
小倉南区道原	コクラミナミクドウバル
小倉南区内	コクラミナミクナイ
小倉南区中曽根	コクラミナミクナカソネ
小倉南区中曽根新町	コクラミナミクナカソネシンマチ
小倉南区中曽根東	コクラミナミクナカソネヒガシ
小倉南区中貫	コクラミナミクナカヌキ
小倉南区中貫本町	コクラミナミクナカヌキホンマチ
小倉南区中吉田	コクラミナミクナカヨシダ
小倉南区長尾	コクラミナミクナガオ
小倉南区長野	コクラミナミクナガノ
小倉南区長野東町	コクラミナミクナガノヒガシマチ
小倉南区長野本町	コクラミナミクナガノホンマチ
小倉南区西貫	コクラミナミクニシヌキ
小倉南区西水町	コクラミナミクニシミズマチ
小倉南区蜷田若園	コクラミナミクニナタワカゾノ
小倉南区貫	コクラミナミクヌキ
小倉南区貫弥生が丘	コクラミナミクヌキヤヨイガオカ
小倉南区沼	コクラミナミクヌマ
小倉南区沼新町	コクラミナミクヌマシンマチ
小倉南区沼本町	コクラミナミクヌマホンマチ
小倉南区沼緑町	コクラミナミクヌマミドリマチ
小倉南区沼南町	コクラミナミクヌマミナミマチ
小倉南区八幡町	コクラミナミクハチマンチョウ
小倉南区葉山町	コクラミナミクハヤマチョウ
小倉南区春吉	コクラミナミクハルヨシ
小倉南区東貫	コクラミナミクヒガシヌキ
小倉南区東水町	コクラミナミクヒガシミズマチ
小倉南区日の出町	コクラミナミクヒノデマチ
小倉南区平尾台	コクラミナミクヒラオダイ
小倉南区富士見	コクラミナミクフジミ
小倉南区堀越	コクラミナミクホリコシ
小倉南区南方	コクラミナミクミナミガタ
小倉南区南若園町	コクラミナミクミナミワカゾノマチ
小倉南区民	コクラミナミクミン
小倉南区母原	コクラミナミクモハラ
小倉南区守恒	コクラミナミクモリツネ
小倉南区守恒本町	コクラミナミクモリツネホンマチ
小倉南区八重洲町	コクラミナミクヤエスマチ
小倉南区役所	コクラミナミクヤクショ
小倉南区山手	コクラミナミクヤマテ
小倉南区山本	コクラミナミクヤマモト
小倉南区湯川	コクラミナミクユガワ
小倉南区湯川新町	コクラミナミクユガワシンマチ
小倉南区横代	コクラミナミクヨコシロ
小倉南区横代北町	コクラミナミクヨコシロキタマチ
小倉南区横代葉山	コクラミナミクヨコシロハヤマ
小倉南区横代東町	コクラミナミクヨコシロヒガシマチ
小倉南区横代南町	コクラミナミクヨコシロミナミマチ
小倉南区吉田	コクラミナミクヨシダ
小倉南区吉田にれの木坂	コクラミナミクヨシダニレノキザカ
小倉南区呼野	コクラミナミクヨブノ
小倉南区若園	コクラミナミクワカゾノ
小倉南警察署	コクラミナミケイサツショ
小倉名画座	コクラメイガザ
小倉薬品株式会社	コクラヤクヒンカブシキガイシャ
コクラヤテレビギャラリー	コクラヤテレビギャラリー
コクラ山	コクラヤマ
小くらやま	コクラヤマ
小クラヤマ	コクラヤマ
コクラヤマ	コクラヤマ
小倉山	コクラヤマ
こくら山	コクラヤマ
コ倉山	コクラヤマ
こくらやま	コクラヤマ
こ倉山	コクラヤマ
小倉脩一	コクラユウイチ
古倉義彦	コクラヨシヒコ
小倉陸軍造兵廠	コクラリクグンゾウヘイショウ
小倉陸軍造兵廠糸口山製作所	コクラリクグンゾウヘイショウイトグチヤマセイサクジョ
小倉連隊区	コクラレンタイク
黒蘭	コクラン
コクラン	コクラン
黒蘭の女	コクランノオンナ
酷吏	コクリ
国り	コクリ
谷利	コクリ
こく利	コクリ
コク利	コクリ
国リ	コクリ
国利	コクリ
コクリコ	コクリコ
コクリコ坂	コクリコザカ
コクリコ坂から	コクリコザカカラ
コク立	コクリツ
コクリツ	コクリツ
こく立	コクリツ
国リツ	コクリツ
こくりつ	コクリツ
国りつ	コクリツ
国立	コクリツ
国立アカデミー	コクリツアカデミー
国立アカデミーボリショイ劇場	コクリツアカデミーボリショイゲキジョウ
国立アカデミー・ボリショイ劇場	コクリツアカデミーボリショイゲキジョウ
国立アフリカ美術館	コクリツアフリカビジュツカン
国立アメリカインディアン博物館	コクリツアメリカインディアンハクブツカン
国立アメリカ・インディアン博物館	コクリツアメリカインディアンハクブツカン
国立アメリカ空軍博物館	コクリツアメリカクウグンハクブツカン
国立アメリカ歴史博物館	コクリツアメリカレキシハクブツカン
国立遺伝学研究所	コクリツイデンガクケンキュウジョ
国立伊東温泉病院	コクリツイトウオンセンビョウイン
国立医薬品食品衛生研究所	コクリツイヤクヒンショクヒンエイセイケンキュウショ
国立医療・病院管理研究所	コクリツイリョウビョウインカンリケンキュウショ
国立医療病院管理研究所	コクリツイリョウビョウインカンリケンキュウショ
国立医療・病院管理研究所	コクリツイリョウビョウインカンリケンキュウジョ
国立医療病院管理研究所	コクリツイリョウビョウインカンリケンキュウジョ
国立印刷局	コクリツインサツキョク
国立印刷局東京病院	コクリツインサツキョクトウキョウビョウイン
国立印刷局東京病院	コクリツインサツジョトウキョウビョウイン
国立映画博物館	コクリツエイガハクブツカン
国立衛生研究所	コクリツエイセイケンキュウショ
国立江田島青少年交流の家	コクリツエダジマセイショウネンコウリュウノイエ
国立演芸場	コクリツエンゲイジョウ
国立大阪南病院	コクリツオオサカミナミビョウイン
国立沖縄戦没者墓苑	コクリツオキナワセンボツシャボエン
国立小樽海上技術学校	コクリツオタルカイジョウギジュツガッコウ
国立音ノ木坂学院	コクリツオトノキザカガクイン
国立オリンピック記念青少年総合センター	コクリツオリンピックキネンセイショウネンソウゴウセンター
国立音楽センター	コクリツオンガクセンター
国立海軍航空博物館	コクリツカイグンコウクウハクブツカン
国立海上技術学校	コクリツカイジョウギジュツガッコ
国立海上技術短期大学校	コクリツカイジョウギジュツタンキ
国立戒壇	コクリツカイダン
国立海洋科技博物館	コクリツカイヨウカギハクブツカン
国立海洋調査院	コクリツカイヨウチョウサイン
国立科学アカデミー・レオポルディーナ	コクリツカガクアカデミーレオポルディーナ
国立科学アカデミーレオポルディーナ	コクリツカガクアカデミーレオポルディーナ
国立科学技術センター	コクリツカガクギジュツセンター
国立科学捜査研究院	コクリツカガクソウサケンキュウイン
国立科学博物館	コクリツカガクハクブツカン
国立科学博物館付属自然教育園	コクリツカガクハクブツカンフゾクシゼンキョウイクエン
国立科学博物館附属自然教育園	コクリツカガクハクブツカンフゾクシゼンキョウイクエン
国立嘉義高級中学	コクリツカギコウキュウチュウガク
国立嘉義大学	コクリツカギダイガク
国立霞ヶ丘競技場	コクリツカスミガオカキョウギジョ
国立霞ヶ丘競技場	コクリツカスミガオカキョウギジョウ
国立霞ヶ丘陸上競技場	コクリツカスミガオカリクジョウキョウギジョウ
国立唐津海上技術学校	コクリツカラツカイジョウギジュツガッコウ
国立花蓮教育大学	コクリツカレンキョウイクダイガク
国立環境研究所	コクリツカンキョウケンキュウジョ
国立看護大学校	コクリツカンゴダイガッコウ
国立感染症研究所	コクリツカンセンショウケンキュウ
国立感染症研究所	コクリツカンセンショウケンキュウショ
国立学校	コクリツガッコウ
国立学校設置法	コクリツガッコウセッチホウ
国立がん研究所	コクリツガンケンキュウジョ
国立研究開発法人国立がん研究センター	コクリツガンケンキュウセンター
国立がん研究センター	コクリツガンケンキュウセンター
国立がん研究センターがん対策情報センター	コクリツガンケンキュウセンターガンタイサクジョウホウセンター
国立がん研究センター中央病院	コクリツガンケンキュウセンターチュウオウビョウイン
国立がん研究センター東病院	コクリツガンケンキュウセンターヒガシビョウイン
国立がんセンター	コクリツガンセンター
国立きぬ川学院	コクリツキヌガワガクイン
国立吉備高原職業リハビリテーションセンター	コクリツキビコウゲンショクギョウリハビリテーションセンター
国立旧一期校	コクリツキュウイッキコウ
国立宮殿	コクリツキュウデン
国立教育会館	コクリツキョウイクカイカン
国立教育政策研究所	コクリツキョウイクセイサクケンキュウジョ
国立競技場	コクリツキョウギジョウ
国立競技場駅	コクリツキョウギジョウエキ
国立京都国際会館	コクリツキョウトコクサイカイカン
国立極地研究所	コクリツキョクチケンキュウジョ
国立慶州博物館	コクリツキョンジュハクブツカン
国立勤益科技大学	コクリツキンエキカギダイガク
国立近現代建築資料館	コクリツキンゲンダイケンチクシリョウカン
国立近代美術館	コクリツキンダイビジュツカン
国立金門大学	コクリツキンモンダイガク
国立行政学院	コクリツギョウセイガクイン
国立銀行	コクリツギンコウ
国立銀行紙幣	コクリツギンコウシヘイ
国立銀行条例	コクリツギンコウジョウレイ
国立口之津海上技術学校	コクリツクチノツカイジョウギジュツガッコウ
国立呉病院	コクリツクレビョウイン
国立研究開発法人	コクリツケンキュウカイハツホウジン
国立研究開発法人医薬基盤健康栄養研究所法	コクリツケンキュウカイハツホウジンイヤクキバンケンコウエイヨウケ
国立研究開発法人医薬基盤・健康・栄養研究所法	コクリツケンキュウカイハツホウジンイヤクキバンケンコウエイヨウケ
国立研究開発法人宇宙航空研究開発機構法	コクリツケンキュウカイハツホウジンウチュウコウクウケンキュウカイハツキコウホウ
国立研究開発法人科学技術振興機構法	コクリツケンキュウカイハツホウジンカガクギジュツシンコウキコウホウ
国立研究開発法人情報通信研究機構法	コクリツケンキュウカイハツホウジンジョウホウツウシンケンキュウキコウホウ
国立研究開発法人日本医療研究開発機構法	コクリツケンキュウカイハツホウジンニホンイリョウケンキュウカイハ
国立研究開発法人日本原子力研究開発機構法	コクリツケンキュウカイハツホウジンニホンゲンシリョクケンキュウカ
国立健康・栄養研究所	コクリツケンコウエイヨウケンキュ
国立健康栄養研究所	コクリツケンコウエイヨウケンキュ
国立健康・栄養研究所	コクリツケンコウエイヨウケンキュウジョ
国立健康栄養研究所	コクリツケンコウエイヨウケンキュウジョ
国立芸術センター管弦楽団	コクリツゲイジュツセンターカンゲンガクダン
国立劇場	コクリツゲキジョウ
国立劇場おきなわ	コクリツゲキジョウオキナワ
国立現代美術館	コクリツゲンダイビジュツカン
国立校	コクリツコウ
🏞	コクリツコウエン
国立公園	コクリツコウエン
国立公園指定記念日	コクリツコウエンキネンビ
国立公園協会	コクリツコウエンキョウカイ
国立公園法	コクリツコウエンホウ
国立工科大学	コクリツコウカダイガク
国立工業教員養成所の設置等に関する臨時措置法	コクリツコウギョウキョウインヨウセイジョノセッチトウニカンスルリンジソチホウ
国立航空宇宙博物館	コクリツコウクウウチュウハクブツカン
国立公衆衛生院	コクリツコウシュウエイセイイン
国立交通大学	コクリツコウツウダイガク
国立高等専門学校	コクリツコウトウセンモンガッコウ
国立高等専門学校機構	コクリツコウトウセンモンガッコウキコウ
国立高等電子応用大学院	コクリツコウトウデンシオウヨウダイガクイン
国立高度専門医療研究センター	コクリツコウドセンモンイリョウケンキュウセンター
国立公文書館	コクリツコウブンショカン
国立公文書館法	コクリツコウブンショカンホウ
国立公文書記録管理局	コクリツコウブンショキロクカンリキョク
国立保養所	コクリツコウホヨウジョ
国立光明寮	コクリツコウミョウリョウ
国立湖岸	コクリツコガン
國立故宮博物院	コクリツコキュウハクブツイン
国立故宮博物院	コクリツコキュウハクブツイン
国立古宮博物館	コクリツコキュウハクブツカン
国立国語院	コクリツコクゴイン
国立国語研究所	コクリツコクゴケンキュウショ
国立国語研究所設置法	コクリツコクゴケンキュウショセッチホウ
国立国語研究所	コクリツコクゴケンキュウジョ
国立国際医療研究センター	コクリツコクサイイリョウケンキュウセンター
国立研究開発法人国立国際医療研究センター	コクリツコクサイイリョウケンキュウセンター
国立国際医療研究センター病院	コクリツコクサイイリョウケンキュウセンタービョウイン
国立国際医療センター	コクリツコクサイイリョウセンター
国立国際美術館	コクリツコクサイビジュツカン
国立国父紀念館	コクリツコクフキネンカン
国立国会図書館	コクリツコッカイトショカン
国立国会図書館関西館	コクリツコッカイトショカンカンサ
国立国会図書館関西館	コクリツコッカイトショカンカンサイカン
国立国会図書館憲政資料室	コクリツコッカイトショカンケンセイシリョウシツ
国立国会図書館件名標目表	コクリツコッカイトショカンケンメイヒョウモクヒョウ
国立国会図書館恒久平和調査局	コクリツコッカイトショカンコウキ
国立国会図書館国会分館	コクリツコッカイトショカンコッカイブンカン
国立国会図書館支部上野図書館	コクリツコッカイトショカンシブウエノトショカン
国立国会図書館長	コクリツコッカイトショカンチョウ
国立国会図書館図書館協力部図書館研究所	コクリツコッカイトショカントショカンキョウリョクブトショカンケン
国立国会図書館図書館研究所	コクリツコッカイトショカントショカンケンキュウジョ
国立国会図書館分類表	コクリツコッカイトショカンブンルイヒョウ
国立国会図書館法	コクリツコッカイトショカンホウ
国立国会図書館連絡調整委員会	コクリツコッカイトショカンレンラクチョウセイイインカイ
国立コンピューティング博物館	コクリツコンピューティングハクブツカン
国立作業場	コクリツサギョウジョウ
国立自然科学博物館	コクリツシゼンカガクハクブツカン
国立自然史博物館	コクリツシゼンシハクブツカン
国立疾病管理公衆衛生センター	コクリツシッペイカンリコウシュウエイセイセンター
国立司法学院	コクリツシホウガクイン
国立清水海上技術短期大学校	コクリツシミズカイジョウギジュツタンキダイガッコウ
国立社会保障人口問題研究所	コクリツシャカイホショウジンコウ
国立社会保障・人口問題研究所	コクリツシャカイホショウジンコウ
国立社会保障・人口問題研究所	コクリツシャカイホショウジンコウモンダイケンキュウジョ
国立社会保障人口問題研究所	コクリツシャカイホショウジンコウモンダイケンキュウジョ
国立彰化師範大学	コクリツショウカシハンダイガク
国立障害者リハビリテーションセンター	コクリツショウガイシャリハビリテーションセンター
国立障害者リハビリテーションセンター学院	コクリツショウガイシャリハビリテーションセンターガクイン
国立小児病院	コクリツショウニビョウイン
國立少年	コクリツショウネン
国立少年	コクリツショウネン
国立身体障害者リハビリテーションセンター	コクリツシンタイショウガイシャリハビリテーションセンター
国立身体障害者リハビリテーションセンター病院	コクリツシンタイショウガイシャリハビリテーションセンタービョウイン
国立新竹教育大学	コクリツシンチクキョウイクダイガク
国立新竹高級中学	コクリツシンチクコウキュウチュウガク
国立新美術館	コクリツシンビジュツカン
国立自動車博物館モノレール	コクリツジドウシャハクブツカンモノレール
国立循環器病研究センター	コクリツジュンカンキケンキュウセンター
国立研究開発法人国立循環器病研究センター	コクリツジュンカンキビョウケンキュウセンター
国立循環器病研究センター	コクリツジュンカンキビョウケンキュウセンター
国立循環器病研究センター病院	コクリツジュンカンキビョウケンキュウセンタービョウイン
国立循環器病センター	コクリツジュンカンキビョウセンター
国立情報学研究所	コクリツジョウホウガクケンキュウ
国立情報学研究所	コクリツジョウホウガクケンキュウジョ
国立女性教育会館	コクリツジョセイキョウイクカイカ
国立女性美術館	コクリツジョセイビジュツカン
国立人類学博物館	コクリツジンルイガクハクブツカン
国立人類学歴史研究所	コクリツジンルイガクレキシケンキュウジョ
国立水里商工高等学校	コクリツスイリショウコウコウトウガッコウ
国立スポーツ科学センター	コクリツスポーツカガクセンター
国立スポーツ科学センター運動場	コクリツスポーツカガクセンターウンドウジョウ
国立駿河療養所	コクリツスルガリョウヨウジョ
国立研究開発法人国立成育医療研究センター	コクリツセイイクイリョウケンキュウセンター
国立成育医療研究センター	コクリツセイイクイリョウケンキュウセンター
国立成育医療研究センター病院	コクリツセイイクイリョウケンキュウセンター
国立清華大学	コクリツセイカダイガク
独立行政法人国立青少年教育振興機構	コクリツセイショウネンキョウイクシンコウキコウ
国立青少年教育振興機構	コクリツセイショウネンキョウイクシンコウキコウ
国立青少年交流の家	コクリツセイショウネンコウリュウノイエ
国立青少年自然の家	コクリツセイショウネンシゼンノイ
国立青少年自然の家	コクリツセイショウネンシゼンノイエ
国立精神・神経医療研究センター	コクリツセイシンシンケイイリョウケンキュウセンター
国立研究開発法人国立精神・神経医療研究センター	コクリツセイシンシンケイイリョウケンキュウセンター
国立精神神経医療研究センター	コクリツセイシンシンケイイリョウケンキュウセンター
国立研究開発法人国立精神神経医療研究センター	コクリツセイシンシンケイイリョウケンキュウセンター
国立精神・神経医療研究センター病院	コクリツセイシンシンケイイリョウケンキュウセンタービョウイン
国立精神神経医療研究センター病院	コクリツセイシンシンケイイリョウケンキュウセンタービョウイン
国立政治大学	コクリツセイジダイガク
国立西洋美術館	コクリツセイヨウビジュツカン
国立先住民言語研究所	コクリツセンジュウミンゲンゴケンキュウジョ
国立先住民保護財団	コクリツセンジュウミンホゴザイダン
国立先端技術学校	コクリツセンタンギジュツガッコウ
国立倉庫（株）	コクリツソウコカブシキガイシャ
国立倉庫 （株）	コクリツソウコカブシキガイシャ
コクリツソウコカブシキガイシャ	コクリツソウコカブシキガイシャ
国立倉庫株式会社	コクリツソウコカブシキガイシャ
国立倉庫(株)	コクリツソウコカブシキガイシャ
国立倉庫 株式会社	コクリツソウコカブシキガイシャ
国立総合大学	コクリツソウゴウダイガク
国立装飾美術館	コクリツソウショクビジュツカン
国立ソウル科学館	コクリツソウルカガクカン
国立ソウル顕忠院	コクリツソウルケンチュウイン
国立台中科技大学	コクリツタイチュウカギダイガク
國立臺中教育大學	コクリツタイチュウキョウイクダイガク
国立台東専科学校	コクリツタイトウセンカガッコウ
国立台東大学	コクリツタイトウダイガク
国立台南芸術大学	コクリツタイナンゲイジュツダイガク
国立台南護理専科学校	コクリツタイナンゴリセンカガッコウ
国立台南第一高級中学	コクリツタイナンダイイチコウキュウチュウガク
国立台南第二高級中学	コクリツタイナンダイニコウキュウチュウガク
国立台北教育大学	コクリツタイペイキョウイクダイガク
国立台北商業大学	コクリツタイペイショウギョウダイガク
国立台北芸術大学	コクリツタイホクゲイジュツダイガク
国立台湾海洋大学	コクリツタイワンカイヨウダイガク
国立台湾戯曲専科学校	コクリツタイワンギキョクセンカガッコウ
国立台湾芸術大学	コクリツタイワンゲイジュツダイガク
国立台湾師範大学附属高級中学	コクリツタイワンシハンダイガクフゾクコウキュウチュウガク
国立台湾体育運動大学	コクリツタイワンタイイクウンドウダイガク
国立台湾図書館	コクリツタイワントショカン
国立台湾博物館	コクリツタイワンハクブツカン
国立台湾文学館	コクリツタイワンブンガクカン
国立台湾歴史博物館	コクリツタイワンレキシハクブツカン
国立高雄科技大学	コクリツタカオカギダイガク
国立高雄師範大学	コクリツタカオシハンダイガク
国立館山海上技術学校	コクリツタテヤマカイジョウギジュツガッコウ
国立短期大学	コクリツタンキダイガク
国立大	コクリツダイ
国立大学	コクリツダイガク
国立大学駅	コクリツダイガクエキ
国立大学改革プラン	コクリツダイガクカイカクプラン
国立大学協会	コクリツダイガクキョウカイ
国立大学財務経営センター	コクリツダイガクザイムケイエイセンター
国立大学財務・経営センター	コクリツダイガクザイムケイエイセンター
国立大学病院	コクリツダイガクビョウイン
国立大学附属学校	コクリツダイガクフゾクガッコウ
国立大学法人	コクリツダイガクホウジン
国立大学法人島根大学医学部附属病院	コクリツダイガクホウジンシマネダイガクイガクブフゾクビョウイン
コクリツダイガクホウジンシマネダイガクイガクブフゾクビョウイン	コクリツダイガクホウジンシマネダイガクイガクブフゾクビョウイン
国立大学法人島根大学 医学部附属病院	コクリツダイガクホウジンシマネダイガクイガクブフゾクビョウイン
国立大学法人徳島大学徳島大学病院	コクリツダイガクホウジントクシマダイガクトクシマダイガクビョウイン
国立大学法人徳島大学 徳島大学病院	コクリツダイガクホウジントクシマダイガクトクシマダイガクビョウイン
コクリツダイガクホウジントクシマダイガクトクシマダイガクビョウイン	コクリツダイガクホウジントクシマダイガクトクシマダイガクビョウイン
国立大学法人評価委員会	コクリツダイガクホウジンヒョウカイインカイ
国立大学法人法	コクリツダイガクホウジンホウ
国立大学法人法施行規則	コクリツダイガクホウジンホウシコウキソク
国立大学法人法施行令	コクリツダイガクホウジンホウシコウレイ
国立大学法人山形大学	コクリツダイガクホウジンヤマガタダイガク
国立第三銀行	コクリツダイサンギンコウ
国立知的障害児施設	コクリツチテキショウガイジシセツ
国立中央大学	コクリツチュウオウダイガク
国立中央図書館	コクリツチュウオウトショカン
国立中央博物館	コクリツチュウオウハクブツカン
国立中学生日記	コクリツチュウガクセイニッキ
国立長寿医療研究センター	コクリツチョウジュイリョウケンキュウセンター
国立研究開発法人国立長寿医療研究センター	コクリツチョウジュイリョウケンキュウセンター
国立長寿医療研究センター病院	コクリツチョウジュイリョウケンキュウセンタービョウイン
国立彫像ホール・コレクション	コクリツチョウゾウホールコレクション
国立彫像ホールコレクション	コクリツチョウゾウホールコレクション
国立追悼施設を考える会	コクリツツイトウシセツヲカンガエルカイ
国立鉄道博物館	コクリツテツドウハクブツカン
国立天文台	コクリツテンモンダイ
国立天文台野辺山	コクリツテンモンダイノベヤマ
国立天文台ハワイ観測所	コクリツテンモンダイハワイカンソクジョ
国立天文台三鷹キャンパス	コクリツテンモンダイミタカキャンパス
コクリツテンモンダイヨンジゲンデジタルウチュウプロジェクト	コクリツテンモンダイヨンジゲンデジタルウチュウプロジェクト
国立天文台4次元デジタル宇宙プロジェクト	コクリツテンモンダイヨンジゲンデジタルウチュウプロジェクト
国立東華大学	コクリツトウカダイガク
国営東京臨海広域防災公園	コクリツトウキョウリンカイコウイキボウサイコウエン
国立統計研究所	コクリツトウケイケンキュウジョ
国立登山研修所	コクリツトザンケンシュウショ
国立登山研修所	コクリツトザンケンシュウジョ
国立図書館	コクリツトショカン
国立土木学校	コクリツドボクガッコウ
国立長崎原爆死没者追悼平和祈念館	コクリツナガサキゲンバクシボツシャツイトウヘイワキネンカン
国立長野病院	コクリツナガノビョウイン
国立波方海上技術短期大学校	コクリツナミカタカイジョウギジュツタンキダイガッコウ
国立南投高級商業職業学校	コクリツナントウコウキュウショウギョウショクギョウガッコウ
国立西が丘運動場	コクリツニシガオカウンドウジョウ
国立西が丘サッカー場	コクリツニシガオカサッカージョウ
国立日帝強制動員歴史館	コクリツニッテイキョウセイドウインレキシカン
国立能楽堂	コクリツノウガクドウ
国立博物館	コクリツハクブツカン
国立博物館物語	コクリツハクブツカンモノガタリ
国立ハリケーンセンター	コクリツハリケーンセンター
国立ハンセン病資料館	コクリツハンセンビョウシリョウカン
