岡山県神郷油野	オカヤマケンシンゴウユノ
沖縄県立浦添高等学校	オキナワケンリツウラソエコウトウガッコウ
沖縄県立浦添商業高等学校	オキナワケンリツウラソエショウギョウコウトウガッコウ
沖縄県立大平特別支援学校	オキナワケンリツオオヒラトクベツシエンガッコウ
沖縄県立沖縄工業高等学校	オキナワケンリツオキナワコウギョウコウトウガッコウ
沖縄県立沖縄水産高等学校	オキナワケンリツオキナワスイサン
沖縄県立沖縄水産高等学校	オキナワケンリツオキナワスイサンコウトウガッコウ
沖縄県立沖縄盲学校	オキナワケンリツオキナワモウガッコウ
沖縄県立沖縄ろう学校	オキナワケンリツオキナワロウガッコウ
沖縄県立小禄高等学校	オキナワケンリツオロクコウトウガッコウ
沖縄県立開邦中学校高等学校	オキナワケンリツカイホウコウチュウガッコウコウトウガッコウ
沖縄県立開邦中学校・高等学校	オキナワケンリツカイホウコウチュウガッコウコウトウガッコウ
沖縄県立開邦高等学校	オキナワケンリツカイホウコウツガッコウ
沖縄県立開邦中学校高等学校	オキナワケンリツカイホウチュウガッコウコウトウガッコウ
沖縄県立開邦中学校・高等学校	オキナワケンリツカイホウチュウガッコウコウトウガッコウ
沖縄県立嘉手納高等学校	オキナワケンリツカデナコウトウガッコウ
沖縄県立看護大学	オキナワケンリツカンゴダイガク
沖縄県立北中城高等学校	オキナワケンリツキタナカグスクコウトウガッコウ
沖縄県立球陽高等学校	オキナワケンリツキュウヨウコウトウガッコウ
沖縄県立球陽中学校高等学校	オキナワケンリツキュウヨウチュウガッコウコウトウガッコウ
沖縄県立球陽中学校・高等学校	オキナワケンリツキュウヨウチュウガッコウコウトウガッコウ
沖縄県立宜野座高等学校	オキナワケンリツギノザコウトウガ
沖縄県立宜野座高等学校	オキナワケンリツギノザコウトウガッコウ
沖縄県立宜野湾高等学校	オキナワケンリツギノワンコウトウガッコウ
沖縄県立久米島高等学校	オキナワケンリツクメジマコウトウガッコウ
沖縄県立具志川高等学校	オキナワケンリツグシカワコウトウガッコウ
沖縄県立具志川商業高等学校	オキナワケンリツグシカワショウギョウコウトウガッコウ
沖縄県立芸術大	オキナワケンリツゲイジュツダイ
沖縄県立芸術大学	オキナワケンリツゲイジュツダイガク
沖縄県立向陽高等学校	オキナワケンリツコウヨウコウトウガッコウ
沖縄県立コザ高等学校	オキナワケンリツコザコウトウガッコウ
沖縄県立首里高等学校	オキナワケンリツシュリコウトウガッコウ
沖縄県立首里高等女学校	オキナワケンリツシュリコウトウジョガッコウ
沖縄県立首里東高等学校	オキナワケンリツシュリヒガシコウトウガッコウ
沖縄県立翔南高等学校	オキナワケンリツショウナンコウトウガッコウ
沖縄県立総合教育センター	オキナワケンリツソウゴウキョウイクセンター
沖縄県立第一高等女学校	オキナワケンリツダイイチコウトウジョガッコウ
沖縄県立知念高等学校	オキナワケンリツチネンコウトウガッコウ
沖縄県立北谷高等学校	オキナワケンリツチャタンコウトウガッコウ
沖縄県立中部商業高等学校	オキナワケンリツチュウブショウギョウコウトウガッコウ
沖縄県立中部農林高等学校	オキナワケンリツチュウブノウリンコウトウガッコウ
沖縄県立中部病院	オキナワケンリツチュウブビョウイン
沖縄県立図書館	オキナワケンリツトショカン
沖縄県立泊高等学校	オキナワケンリツトマリコウトウガッコウ
沖縄県立豊見城高等学校	オキナワケンリツトミシロコウトウガッコウ
沖縄県立豊見城南高等学校	オキナワケンリツトミシロミナミコウトウガッコウ
沖縄県立名護高等学校	オキナワケンリツナゴコウトウガッコウ
沖縄県立名護商業高等学校	オキナワケンリツナゴショウギョウコウトウガッコウ
沖縄県立名護商工高等学校	オキナワケンリツナゴショウコウコウトウガッコウ
沖縄県立那覇工業高等学校	オキナワケンリツナハコウギョウコウトウガッコウ
沖縄県立那覇高等学校	オキナワケンリツナハコウトウガッコウ
沖縄県立那覇国際高等学校	オキナワケンリツナハコクサイコウトウガッコウ
沖縄県立那覇商業高等学校	オキナワケンリツナハショウギョウコウトウガッコウ
沖縄県立那覇特別支援学校	オキナワケンリツナハトクベツシエンガッコウ
沖縄県立那覇西高等学校	オキナワケンリツナハニシコウトウ
沖縄県立那覇西高等学校	オキナワケンリツナハニシコウトウガッコウ
沖縄県立那覇病院	オキナワケンリツナハビョウイン
沖縄県立南部工業高等学校	オキナワケンリツナンブコウギョウコウトウガッコウ
沖縄県立南部商業高等学校	オキナワケンリツナンブショウギョウコウトウガッコウ
沖縄県立南部農林高等学校	オキナワケンリツナンブノウリンコウトウガッコウ
沖縄県立西原高等学校	オキナワケンリツニシハラコウトウガッコウ
沖縄県立農林学校	オキナワケンリツノウリンガッコウ
沖縄県立南風原高等学校	オキナワケンリツハエバルコウトウガッコウ
沖縄県立博物館	オキナワケンリツハクブツカン
沖縄県立博物館・美術館	オキナワケンリツハクブツカンビジュツカン
沖縄県立博物館美術館	オキナワケンリツハクブツカンビジュツカン
沖縄県立普天間高等学校	オキナワケンリツフテンマコウトウガッコウ
沖縄県立武道館	オキナワケンリツブドウカン
沖縄県平和祈念資料館	オキナワケンリツヘイワキネンシリョウカン
沖縄県立平和祈念資料館	オキナワケンリツヘイワキネンシリョウカン
沖縄県立辺土名高等学校	オキナワケンリツヘントナコウトウガッコウ
沖縄県立北山高等学校	オキナワケンリツホクザンコウトウガッコウ
沖縄県立北部工業高等学校	オキナワケンリツホクブコウギョウコウトウガッコウ
沖縄県立北部農林高等学校	オキナワケンリツホクブノウリンコウトウガッコウ
沖縄県立北部病院	オキナワケンリツホクブビョウイン
沖縄県立前原高等学校	オキナワケンリツマエハラコウトウガッコウ
沖縄県立真和志高等学校	オキナワケンリツマワシコウトウガッコウ
沖縄県立美咲特別支援学校	オキナワケンリツミサキトクベツシエンガッコウ
沖縄県立美里工業高等学校	オキナワケンリツミサトコウギョウコウトウガッコウ
沖縄県立美里高等学校	オキナワケンリツミサトコウトウガッコウ
沖縄県立宮古工業高等学校	オキナワケンリツミヤココウギョウコウトウガッコウ
沖縄県立宮古総合実業高校	オキナワケンリツミヤコソウゴウジツギョウコウトウガッコウ
沖縄県立宮古特別支援学校	オキナワケンリツミヤコトクベツシエンガッコウ
沖縄県立宮古農林高等学校	オキナワケンリツミヤコノウリンコウトウガッコウ
沖縄県立宮古病院	オキナワケンリツミヤコビョウイン
沖縄県立美来工科高等学校	オキナワケンリツミライコウカコウトウガッコウ
沖縄県立本部高等学校	オキナワケンリツモトブコウトウガッコウ
沖縄県立森川特別支援学校	オキナワケンリツモリカワトクベツシエンガッコウ
沖縄県立八重山高等学校	オキナワケンリツヤエヤマコウトウガッコウ
沖縄県立八重山商工高等学校	オキナワケンリツヤエヤマショウコウコウトウガッコウ
沖縄県立八重山農林高等学校	オキナワケンリツヤエヤマノウリンコウトウガッコウ
沖縄県立八重山病院	オキナワケンリツヤエヤマビョウイン
沖縄県立陽明高等学校	オキナワケンリツヨウメイコウトウガッコウ
沖縄県立読谷高等学校	オキナワケンリツヨミタンコウトウガッコウ
沖縄県離島住民割引運賃カード	オキナワケンリトウジュウミンワリビキウンチンカード
沖縄県労働金庫	オキナワケンロウドウキンコ
沖縄県和宇慶	オキナワケンワウケ
沖縄県若狭	オキナワケンワカサ
沖縄県湧川	オキナワケンワクガワ
沖縄県ワシントン事務所	オキナワケンワシントンジムショ
沖縄県和仁屋	オキナワケンワニヤ
沖縄ケーブルネットワーク株式会社	オキナワケーブルネットワークカブシキガイシャ
沖縄下水道公社	オキナワゲスイドウコウシャ
沖縄工業高等専門学校	オキナワコウギョウコウトウセンモンガッコウ
沖縄広告 株式会社	オキナワコウコクカブシキガイシャ
沖縄広告 （株）	オキナワコウコクカブシキガイシャ
沖縄広告（株）	オキナワコウコクカブシキガイシャ
沖縄広告(株)	オキナワコウコクカブシキガイシャ
オキナワコウコクカブシキガイシャ	オキナワコウコクカブシキガイシャ
沖縄広告株式会社	オキナワコウコクカブシキガイシャ
沖縄抗争	オキナワコウソウ
オキナワコウソクインサツカブシキガイシャ	オキナワコウソクインサツカブシキガイシャ
沖縄高速印刷 （株）	オキナワコウソクインサツカブシキガイシャ
沖縄高速印刷株式会社	オキナワコウソクインサツカブシキガイシャ
沖縄高速印刷(株)	オキナワコウソクインサツカブシキガイシャ
沖縄高速印刷（株）	オキナワコウソクインサツカブシキガイシャ
沖縄高速印刷 株式会社	オキナワコウソクインサツカブシキガイシャ
沖縄交通	オキナワコウツウ
オキナワコウバシ	オキナワコウバシ
沖縄コカ・コーラボトリング	オキナワコカコーラボトリング
沖縄コカコーラボトリング	オキナワコカコーラボトリング
沖縄コカコーラボトリング株式会社	オキナワコカコーラボトリングカブシキガイシャ
沖縄コカ・コーラボトリング株式会社	オキナワコカコーラボトリングカブシキガイシャ
オキナワコガボウスイコウギョウカブシキガイシャ	オキナワコガボウスイコウギョウカブシキガイシャ
沖縄古賀防水工業（株）	オキナワコガボウスイコウギョウカブシキガイシャ
沖縄古賀防水工業(株)	オキナワコガボウスイコウギョウカブシキガイシャ
沖縄古賀防水工業 株式会社	オキナワコガボウスイコウギョウカブシキガイシャ
沖縄古賀防水工業 （株）	オキナワコガボウスイコウギョウカブシキガイシャ
沖縄古賀防水工業株式会社	オキナワコガボウスイコウギョウカブシキガイシャ
オキナワコキクガシラコウモリ	オキナワコキクガシラコウモリ
沖縄国際映画祭	オキナワコクサイエイガサイ
沖縄国際海洋博覧会	オキナワコクサイカイヨウハクランカイ
沖縄国際カーニバル	オキナワコクサイカーニバル
沖縄国際センター	オキナワコクサイセンター
沖縄国際大	オキナワコクサイダイ
沖繩国際大学	オキナワコクサイダイガク
沖縄国際大学	オキナワコクサイダイガク
沖縄国際大学米軍ヘリコプター墜落事件	オキナワコクサイダイガクベイグンヘリコプターツイラクジケン
沖縄国際ユースホステル	オキナワコクサイユースホステル
沖縄国税事務所	オキナワコクゼイジムショ
沖縄黒糖コーラ	オキナワコクトウコーラ
沖縄こどもの国	オキナワコドモノクニ
沖縄コンベンションセンター	オキナワコンベンションセンター
沖縄剛柔流	オキナワゴウジュウリュウ
沖縄剛柔流空手道協会	オキナワゴウジュウリュウカラテドウキョウカイ
OKINAWAゴーヤーパーク	オキナワゴーヤーパーク
オキナワゴーヤーパーク	オキナワゴーヤーパーク
okinawaゴーヤーパーク	オキナワゴーヤーパーク
沖縄再併合	オキナワサイヘイゴウ
オキナワサミットタンジョウヒワオブチケイゾウモノガタリ	オキナワサミットタンジョウヒワオブチケイゾウモノガタリ
沖縄サミット誕生秘話-小渕恵三物語-	オキナワサミットタンジョウヒワオブチケイゾウモノガタリ
沖縄三育小学校	オキナワサンイクショウガッコウ
沖縄三育中学校	オキナワサンイクチュウガッコウ
沖縄三区	オキナワサンク
沖縄3区	オキナワサンク
オキナワサンク	オキナワサンク
沖縄サンゴオールスターズwithガレッジセール	オキナワサンゴオールスターズウィズガレッジセール
オキナワサンゴオールスターズウィズガレッジセール	オキナワサンゴオールスターズウィズガレッジセール
沖縄三十六歌仙	オキナワサンジュウロッカセン
沖縄サンバカーニバル	オキナワサンバカーニバル
沖縄三和シヤッター 株式会社	オキナワサンワシヤッターカブシキガイシャ
沖縄三和シヤッター株式会社	オキナワサンワシヤッターカブシキガイシャ
沖縄三和シヤッター(株)	オキナワサンワシヤッターカブシキガイシャ
沖縄三和シヤッター（株）	オキナワサンワシヤッターカブシキガイシャ
オキナワサンワシヤッターカブシキガイシャ	オキナワサンワシヤッターカブシキガイシャ
沖縄三和シヤッター （株）	オキナワサンワシヤッターカブシキガイシャ
沖縄サーフサイドサービス ハイサイ	オキナワサーフサイドサービスハイサイ
沖縄サーフサイドサービスハイサイ	オキナワサーフサイドサービスハイサイ
沖縄財界四天王	オキナワザイカイシテンノウ
沖縄座間味村	オキナワザマミソン
沖縄・座間味村	オキナワザマミソン
沖縄市	オキナワシ
沖縄市明道	オキナワシアケミチ
沖縄市安慶田	オキナワシアゲダ
沖縄市泡瀬	オキナワシアワセ
沖縄市池原	オキナワシイケハラ
沖縄市上地	オキナワシウエチ
沖縄市FMコミュニティ放送	オキナワシエフエムコミュニティホウソウ
沖縄市ＦＭコミュニティ放送	オキナワシエフエムコミュニティホウソウ
沖縄市エフエムコミュニティ放送	オキナワシエフエムコミュニティホウソウ
沖縄市大里	オキナワシオオザト
沖縄市海邦	オキナワシカイホウ
沖縄市海邦町	オキナワシカイホウチョウ
沖縄市嘉間良	オキナワシカマラ
沖縄市議会	オキナワシギカイ
沖縄市議会議員	オキナワシギカイギイン
沖縄市議会議員選挙	オキナワシギカイギインセンキョ
沖縄市議会議員補欠選挙	オキナワシギカイギインホケツセンキョ
沖縄市久保田	オキナワシクボタ
沖縄市倉敷	オキナワシクラシキ
沖縄市古謝	オキナワシコジャ
沖縄市古謝津嘉山町	オキナワシコジャツカザンチョウ
沖縄市越来	オキナワシゴエク
沖縄市胡屋	オキナワシゴヤ
沖縄市サッカー場	オキナワシサッカージョウ
沖縄市潮乃森	オキナワシシオノモリ
沖縄市消防本部	オキナワシショウボウホンブ
沖縄市白川	オキナワシシラカワ
沖縄市城前町	オキナワシシロマエチョウ
沖縄諮詢会	オキナワシジュンカイ
沖縄市循環バス	オキナワシジュンカンバス
沖縄市住吉	オキナワシスミヨシ
沖縄市園田	オキナワシソノダ
沖縄市体育館	オキナワシタイイクカン
沖縄市高原	オキナワシタカハラ
沖縄市知花	オキナワシチバナ
沖縄市中央	オキナワシチュウオウ
沖縄市長	オキナワシチョウ
沖縄市長選	オキナワシチョウセン
沖縄市長選挙	オキナワシチョウセンキョ
沖縄市照屋	オキナワシテルヤ
沖縄市桃原	オキナワシトウバル
沖縄市内	オキナワシナイ
沖縄市仲宗根町	オキナワシナカソネチョウ
沖縄市登川	オキナワシノボリカワ
沖縄師範学校	オキナワシハンガッコウ
沖縄市東	オキナワシヒガシ
沖縄市比屋根	オキナワシヒヤゴン
沖縄市松本	オキナワシマツモト
沖縄島唐辛子	オキナワシマトウガラシ
沖縄市美里	オキナワシミサト
沖縄市美里仲原町	オキナワシミサトナカハラチョウ
沖縄市南桃原	オキナワシミナミトウバル
沖縄市美原	オキナワシミハラ
沖縄市宮里	オキナワシミヤザト
沖縄市民	オキナワシミン
沖縄市民会館	オキナワシミンカイカン
沖縄市室川	オキナワシムロカワ
沖縄市諸見里	オキナワシモロミザト
沖縄社会大衆党	オキナワシャカイタイシュウトウ
沖縄社会党	オキナワシャカイトウ
沖縄社会保険事務局	オキナワシャカイホケンジムキョク
沖縄シャーリング（株）	オキナワシャーリングカブシキガイシャ
沖縄シャーリング 株式会社	オキナワシャーリングカブシキガイシャ
オキナワシャーリングカブシキガイシャ	オキナワシャーリングカブシキガイシャ
沖縄シャーリング(株)	オキナワシャーリングカブシキガイシャ
沖縄シャーリング株式会社	オキナワシャーリングカブシキガイシャ
沖縄シャーリング （株）	オキナワシャーリングカブシキガイシャ
沖縄市八重島	オキナワシヤエシマ
沖縄市野球場	オキナワシヤキュウジョウ
沖縄市役所	オキナワシヤクショ
沖縄市山内	オキナワシヤマウチ
沖縄市山里	オキナワシヤマザト
沖縄出身	オキナワシュッシン
沖縄出版	オキナワシュッパン
沖縄尚学	オキナワショウガク
沖縄尚学高等学校	オキナワショウガクコウトウガッコウ
沖縄尚学高等学校附属中学校	オキナワショウガクコウトウガッコウフゾクチュウガッコウ
沖縄尚学高等学校・附属中学校	オキナワショウガクコウトウガッコウフゾクチュウガッコウ
おきなわ証券	オキナワショウケン
沖縄松源流	オキナワショウゲンリュウ
沖縄商工会議所	オキナワショウコウカイギショ
沖縄小林流空手振興会	オキナワショウリンリュウカラテシンコウカイ
沖縄職業能力開発大学校	オキナワショクギョウノウリョクカイハツダイガッコウ
沖縄食料	オキナワショクリョウ
沖縄しょ島	オキナワショトウ
オキナワショ島	オキナワショトウ
沖縄諸トウ	オキナワショトウ
沖縄ショトウ	オキナワショトウ
沖ナワショトウ	オキナワショトウ
沖縄しょとう	オキナワショトウ
おき縄しょとう	オキナワショトウ
おきなわしょとう	オキナワショトウ
オキナワショトウ	オキナワショトウ
おきなわしょ島	オキナワショトウ
おきなわ諸島	オキナワショトウ
オキ縄諸島	オキナワショトウ
オキナワ諸トウ	オキナワショトウ
沖縄諸とう	オキナワショトウ
沖なわしょとう	オキナワショトウ
沖なわ諸島	オキナワショトウ
沖ナワ諸島	オキナワショトウ
おき縄諸島	オキナワショトウ
オキナワ諸島	オキナワショトウ
沖縄諸島	オキナワショトウ
おきなわ諸とう	オキナワショトウ
オキ縄ショトウ	オキナワショトウ
沖縄ショ島	オキナワショトウ
沖縄市与儀	オキナワシヨギ
沖縄市陸上競技場	オキナワシリクジョウキョウギジョウ
沖縄市立安慶田中学校	オキナワシリツアゲダチュウガッコウ
沖縄市立沖縄東中学校	オキナワシリツオキナワヒガシチュウガッコウ
沖縄市立コザ中学校	オキナワシリツコザチュウガッコウ
沖縄市立越来中学校	オキナワシリツゴエクチュウガッコウ
沖縄市立総合運動場	オキナワシリツソウゴウウンドウジョウ
沖縄市立美東中学校	オキナワシリツビトウチュウガッコウ
沖縄市立美里中学校	オキナワシリツミサトチュウガッコウ
沖縄市立美原小学校	オキナワシリツミハラショウガッコウ
沖縄市立宮里中学校	オキナワシリツミヤサトチュウガッコウ
沖縄市立山内小学校	オキナワシリツヤマウチショウガッコウ
沖縄市立山内中学校	オキナワシリツヤマウチチュウガッコウ
沖縄振興	オキナワシンコウ
沖縄振興開発金融公庫	オキナワシンコウカイハツキンユウ
沖縄振興開発金融公庫	オキナワシンコウカイハツキンユウコウコ
沖縄振興開発金融公庫法	オキナワシンコウカイハツキンユウコウコホウ
沖縄振興局	オキナワシンコウキョク
沖縄振興特別推進交付金	オキナワシンコウトクベツスイシンコウフキン
沖縄振興特別措置法	オキナワシンコウトクベツソチホウ
沖縄振興特別措置法	オキナワシンコウトクベツホウ
沖縄新世代経営者塾	オキナワシンセダイケイエイシャジュク
OKINAWA J-Adviser	オキナワジェイアドバイザー
okinawa j-adviser	オキナワジェイアドバイザー
オキナワジェイアドバイザー	オキナワジェイアドバイザー
沖縄自衛官爆死事件	オキナワジエイカンバクシジケン
沖縄・自衛官爆死事件	オキナワジエイカンバクシジケン
沖縄地震	オキナワジシン
沖縄自動車道	オキナワジドウシャドウ
沖縄時報	オキナワジホウ
沖縄島	オキナワジマ
沖縄ジャズ協会	オキナワジャズキョウカイ
沖縄住民の国政参加特別措置法	オキナワジュウミンノコクセイサンカトクベツソチホウ
沖縄住民の国政参加特別措置法に基づく衆議院議員及び参議院議員選挙法	オキナワジュウミンノコクセイサンカトクベツソチホウニモトヅクシュウギインギインオヨビサンギインギインセンキョホウ
沖縄自由民主党	オキナワジユウミンシュトウ
沖縄情報市場	オキナワジョウホウイチバ
沖縄情報:HaisaiTV	オキナワジョウホウハイサイテレビ
沖縄情報：ＨaisaiＴＶ	オキナワジョウホウハイサイテレビ
沖縄情報:haisaitv	オキナワジョウホウハイサイテレビ
沖縄女子短期大学	オキナワジョシタンキダイガク
沖縄女子短期大学附属高等学校	オキナワジョシタンキダイガクフゾクコウトウガッコウ
沖縄神社	オキナワジンジャ
沖縄人民党	オキナワジンミントウ
沖縄人連盟	オキナワジンレンメイ
沖縄水産	オキナワスイサン
オキナワスゲ	オキナワスゲ
オキナワスズメウリ	オキナワスズメウリ
沖縄スターズ	オキナワスターズ
オキナワスナゴショウ	オキナワスナゴショウ
沖縄スパイ戦史	オキナワスパイセンシ
沖縄角力	オキナワズモウ
沖縄政財界人恐喝事件	オキナワセイサイカイジンキョウカツジケン
沖縄青少年科学作品展	オキナワセイショウネンカガクサクヒンテン
沖縄製糖株式会社	オキナワセイトウカブシキガイシャ
沖縄青年師範学校	オキナワセイネンシハンガッコウ
沖縄青年の家	オキナワセイネンノイエ
沖縄製粉株式会社	オキナワセイフン
沖縄赤十字社	オキナワセキジュウジシャ
沖縄赤十字病院	オキナワセキジュウジビョウイン
沖縄石油基地	オキナワセキユキチ
沖縄設計サービス （株）	オキナワセッケイサービスカブシキガイシャ
沖縄設計サービス（株）	オキナワセッケイサービスカブシキガイシャ
沖縄設計サービス株式会社	オキナワセッケイサービスカブシキガイシャ
沖縄設計サービス(株)	オキナワセッケイサービスカブシキガイシャ
オキナワセッケイサービスカブシキガイシャ	オキナワセッケイサービスカブシキガイシャ
沖縄設計サービス 株式会社	オキナワセッケイサービスカブシキガイシャ
オキナワセッコク	オキナワセッコク
沖縄セルラー	オキナワセルラー
沖縄セルラースタジアム那覇	オキナワセルラースタジアムナハ
沖縄セルラー電話	オキナワセルラーデンワ
オキナワセルラーデンワ	オキナワセルラーデンワ
okinawa cellular telephone company	オキナワセルラーデンワ
OKINAWA CELLULAR TELEPHONE COMPANY	オキナワセルラーデンワ
沖縄セルラー電話 株式会社	オキナワセルラーデンワカブシキガイシャ
沖縄セルラー電話 （株）	オキナワセルラーデンワカブシキガイシャ
沖縄セルラー電話(株)	オキナワセルラーデンワカブシキガイシャ
沖縄セルラー電話（株）	オキナワセルラーデンワカブシキガイシャ
沖縄セルラー電話株式会社	オキナワセルラーデンワカブシキガイシャ
オキナワセルラーデンワカブシキガイシャ	オキナワセルラーデンワカブシキガイシャ
沖縄戦	オキナワセン
沖縄選挙区	オキナワセンキョク
沖縄戦「集団自決」の謎と真実	オキナワセンシュウダンジケツノナゾトハイケイ
沖縄戦集団自決の謎と真実	オキナワセンシュウダンジケツノナゾトハイケイ
沖縄戦跡国定公園	オキナワセンセキコクテイコウエン
沖縄戦・渡嘉敷島集団自決の真実	オキナワセントカシキジマシュウダンジケツノシンジツ
沖縄戦渡嘉敷島集団自決の真実	オキナワセントカシキジマシュウダンジケツノシンジツ
沖縄戦渡嘉敷島「集団自決」の真実	オキナワセントカシキジマシュウダンジケツノシンジツ
沖縄戦・渡嘉敷島「集団自決」の真実	オキナワセントカシキジマシュウダンジケツノシンジツ
沖縄戦における集団自決	オキナワセンニオケルシュウダンジケツ
沖縄ゼネスト警察官殺害事件	オキナワゼネストケイサツカンサツガイジケン
沖縄ぜんざい	オキナワゼンザイ
沖縄全島エイサーまつり	オキナワゼントウエイサーマツリ
沖縄総合事務局	オキナワソウゴウジムキョク
沖縄総合通信事務所	オキナワソウゴウツウシンジムショ
沖縄そば	オキナワソバ
沖縄大会	オキナワタイカイ
沖縄台風	オキナワタイフウ
沖縄タイムス	オキナワタイムス
沖縄タイムス社	オキナワタイムスシャ
沖縄タイムス社「かなさうちなーむん」編集部	オキナワタイムスシャカナサウチナームンヘンシュウブ
沖縄タイムス南部総局	オキナワタイムスナンブソウキョク
沖縄竹富町	オキナワタケトミチョウ
沖縄・竹富町	オキナワタケトミチョウ
沖縄タビンチュネット	オキナワタビンチュネット
沖縄多良間村	オキナワタラマソン
沖縄・多良間村	オキナワタラマソン
沖縄タレントアカデミー	オキナワタレントアカデミー
沖縄短期大学	オキナワタンキダイガク
沖縄短大	オキナワタンダイ
沖縄ターミナル株式会社	オキナワターミナルカブシキガイシャ
沖縄大	オキナワダイ
沖縄大学	オキナワダイガク
沖繩大学	オキナワダイガク
沖縄大学院大学	オキナワダイガクインダイガク
沖縄大京	オキナワダイキョウ
沖縄大好き検定	オキナワダイスキケンテイ
沖縄ダイビングショップ アクアダイブ	オキナワダイビングショップアクアダイブ
沖縄ダイビングショップアクアダイブ	オキナワダイビングショップアクアダイブ
沖縄代理署名訴訟	オキナワダイリショメイソショウ
沖縄地域科学研究所	オキナワチイキカガクケンキュウジョ
沖縄地区税関	オキナワチクゼイカン
オキナワチドリ	オキナワチドリ
沖縄千鳥	オキナワチドリ
沖縄地方	オキナワチホウ
沖縄北谷町	オキナワチャタンチョウ
沖縄・北谷町	オキナワチャタンチョウ
沖縄中央銀行	オキナワチュウオウギンコウ
沖縄美ら海水族館	オキナワチュラウミスイゾクカン
沖縄通信ネットワーク	オキナワツウシンネットワーク
沖縄通信ネットワーク株式会社	オキナワツウシンネットワークカブシキガイシャ
沖縄手	オキナワテ
沖縄てぃーだ	オキナワティーダ
沖縄鉄軌道	オキナワテツキドウ
沖縄テレビ	オキナワテレビ
沖縄テレビ放送	オキナワテレビホウソウ
沖縄テレビ放送（株）	オキナワテレビホウソウカブシキガイシャ
沖縄テレビ放送(株)	オキナワテレビホウソウカブシキガイシャ
沖縄テレビ放送 （株）	オキナワテレビホウソウカブシキガイシャ
オキナワテレビホウソウカブシキガイシャ	オキナワテレビホウソウカブシキガイシャ
沖縄テレビ放送株式会社	オキナワテレビホウソウカブシキガイシャ
沖縄テレビ放送 株式会社	オキナワテレビホウソウカブシキガイシャ
沖縄テレメッセージ	オキナワテレメッセージ
沖縄電気	オキナワデンキ
沖縄伝統空手道振興会	オキナワデントウカラテドウシンコウカイ
The Okinawa Electric Power Company，Incorporated	オキナワデンリョク
オキナワデンリョク	オキナワデンリョク
The Okinawa Electric Power CompanyIncorporated	オキナワデンリョク
the okinawa electric power companyincorporated	オキナワデンリョク
沖縄電力	オキナワデンリョク
the okinawa electric power company，incorporated	オキナワデンリョク
沖縄電力 （株）	オキナワデンリョクカブシキガイシャ
沖縄電力(株)	オキナワデンリョクカブシキガイシャ
沖縄電力 株式会社	オキナワデンリョクカブシキガイシャ
沖縄電力株式会社	オキナワデンリョクカブシキガイシャ
沖縄電力（株）	オキナワデンリョクカブシキガイシャ
オキナワデンリョクカブシキガイシャ	オキナワデンリョクカブシキガイシャ
沖縄電力硬式野球部	オキナワデンリョクコウシキヤキュウブ
沖縄蜥蜴	オキナワトカゲ
オキナワトカゲ	オキナワトカゲ
沖縄・渡嘉敷村	オキナワトカシキソン
沖縄渡嘉敷村	オキナワトカシキソン
沖縄徳洲会	オキナワトクシュウカイ
オキナワトゲネズミ	オキナワトゲネズミ
沖縄棘鼠	オキナワトゲネズミ
沖縄都市圏	オキナワトシケン
沖縄都市モノレール	オキナワトシモノレール
沖縄都市モノレール株式会社	オキナワトシモノレールカブシキガイシャ
沖縄都市モノレール線	オキナワトシモノレールセン
沖縄都市モノレール1000形電車	オキナワトシモノレールセンガタデンシャ
オキナワトシモノレールセンガタデンシャ	オキナワトシモノレールセンガタデンシャ
沖縄土地住宅株式会社	オキナワトチジュウタクカブシキガイシャ
沖縄・渡名喜村	オキナワトナキソン
沖縄渡名喜村	オキナワトナキソン
沖縄豊見城	オキナワトミグスク
沖縄・豊見城	オキナワトミグスク
沖縄・豊見城市	オキナワトミグスクシ
沖縄豊見城市	オキナワトミグスクシ
沖縄友の会	オキナワトモノカイ
沖縄トヨタ自動車	オキナワトヨタジドウシャ
沖縄トラフ	オキナワトラフ
沖縄道	オキナワドウ
沖縄・中城村	オキナワナカグスクソン
沖縄中城村	オキナワナカグスクソン
沖縄今帰仁村	オキナワナキジンソン
沖縄・今帰仁村	オキナワナキジンソン
沖縄名護	オキナワナゴ
沖縄・名護	オキナワナゴ
沖縄名護市	オキナワナゴシ
沖縄・名護市	オキナワナゴシ
沖縄那覇	オキナワナハ
沖縄・那覇	オキナワナハ
沖縄那覇市	オキナワナハシ
沖縄・那覇市	オキナワナハシ
沖縄ナムラホール	オキナワナムラホール
沖縄・南城	オキナワナンジョウ
沖縄南城	オキナワナンジョウ
沖縄・南城市	オキナワナンジョウシ
沖縄南城市	オキナワナンジョウシ
沖縄ナンデモ調査隊	オキナワナンデモチョウサタイ
沖縄南部療育医療センター	オキナワナンブリョウイクイリョウセンター
沖縄に行きませんか	オキナワニイキマセンカ
沖縄2区	オキナワニク
沖縄二区	オキナワニク
オキナワニク	オキナワニク
沖縄西海岸道路	オキナワニシカイガンドウロ
沖縄西原町	オキナワニシハラチョウ
沖縄・西原町	オキナワニシハラチョウ
沖縄日通エアカーゴサービス（株）	オキナワニッツウエアカーゴサービスカブシキガイシャ
オキナワニッツウエアカーゴサービスカブシキガイシャ	オキナワニッツウエアカーゴサービスカブシキガイシャ
