若桑	ワカクワ
和歌山県畑屋敷千体仏丁	ワカヤマケンハタヤシキセンタイブツチョウ
和歌山県畑屋敷中ノ丁	ワカヤマケンハタヤシキナカノチョウ
和歌山県畑屋敷西ノ丁	ワカヤマケンハタヤシキニシノチョウ
和歌山県畑屋敷端ノ丁	ワカヤマケンハタヤシキハシノチョウ
和歌山県畑屋敷東ノ丁	ワカヤマケンハタヤシキヒガシノチョウ
和歌山県畑屋敷兵庫ノ丁	ワカヤマケンハタヤシキヒョウゴノチョウ
和歌山県畑屋敷袋町	ワカヤマケンハタヤシキフクロマチ
和歌山県畑屋敷松ケ枝丁	ワカヤマケンハタヤシキマツガエチョウ
和歌山県八番丁	ワカヤマケンハチバンチョウ
和歌山県蜂伏	ワカヤマケンハチブセ
和歌山県初島町里	ワカヤマケンハツシマチョウサト
和歌山県初島町浜	ワカヤマケンハツシマチョウハマ
和歌山県花坂	ワカヤマケンハナサカ
和歌山県花園新子	ワカヤマケンハナゾノアタラシ
和歌山県花園池ノ窪	ワカヤマケンハナゾノイケノクボ
和歌山県花園北寺	ワカヤマケンハナゾノキタデラ
和歌山県花園久木	ワカヤマケンハナゾノクキ
和歌山県花園中南	ワカヤマケンハナゾノナカミナミ
和歌山県花園梁瀬	ワカヤマケンハナゾノヤナセ
和歌山県花野原	ワカヤマケンハナノハラ
和歌山県埴田	ワカヤマケンハネタ
和歌山県土生	ワカヤマケンハブ
和歌山県吐生	ワカヤマケンハブ
和歌山県波分	ワカヤマケンハブ
和歌山県浜ノ瀬	ワカヤマケンハマノセ
和歌山県浜ノ宮	ワカヤマケンハマノミヤ
和歌山県林	ワカヤマケンハヤシ
和歌山県芳養町	ワカヤマケンハヤチョウ
和歌山県芳養松原	ワカヤマケンハヤマツバラ
和歌山県原	ワカヤマケンハラ
和歌山県原田	ワカヤマケンハラダ
和歌山県原谷	ワカヤマケンハラダニ
和歌山県原野	ワカヤマケンハラノ
和歌山県原日浦	ワカヤマケンハラビウラ
和歌山県羽六	ワカヤマケンハロク
和歌山県吐前	ワカヤマケンハンザキ
和歌山県馬場	ワカヤマケンババ
和歌山県馬場町	ワカヤマケンババチョウ
和歌山県比井	ワカヤマケンヒイ
和歌山県日方	ワカヤマケンヒカタ
和歌山県東岩代	ワカヤマケンヒガシイワシロ
和歌山県東大井	ワカヤマケンヒガシオオイ
和歌山県東大谷	ワカヤマケンヒガシオオダニ
和歌山県東鍛冶屋町	ワカヤマケンヒガシカジヤマチ
和歌山県東川原	ワカヤマケンヒガシカワハラ
和歌山県東釘貫丁	ワカヤマケンヒガシクギヌキチョウ
和歌山県東蔵前丁	ワカヤマケンヒガシクラマエチョウ
和歌山県東神野川	ワカヤマケンヒガシコウノガワ
和歌山県東国分	ワカヤマケンヒガシコクブ
和歌山県東小二里町	ワカヤマケンヒガシコニリチョウ
和歌山県東紺屋町	ワカヤマケンヒガシコンヤマチ
和歌山県東郷	ワカヤマケンヒガシゴウ
和歌山県東坂ノ上丁	ワカヤマケンヒガシサカノウエチョウ
和歌山県東坂本	ワカヤマケンヒガシサカモト
和歌山県東渋田	ワカヤマケンヒガシシブタ
和歌山県東高松	ワカヤマケンヒガシタカマツ
和歌山県東田中	ワカヤマケンヒガシタナカ
和歌山県東谷	ワカヤマケンヒガシタニ
和歌山県東仲間町	ワカヤマケンヒガシチュウゲンマチ
和歌山県東中	ワカヤマケンヒガシナカ
和歌山県東長町	ワカヤマケンヒガシナガマチ
和歌山県東長町中ノ丁	ワカヤマケンヒガシナガマチナカノチョウ
和歌山県東丹生図	ワカヤマケンヒガシニュウノズ
和歌山県東布経丁	ワカヤマケンヒガシヌノエチョウ
和歌山県東野	ワカヤマケンヒガシノ
和歌山県東旅籠町	ワカヤマケンヒガシハタゴマチ
和歌山県東畑	ワカヤマケンヒガシバタ
和歌山県東富貴	ワカヤマケンヒガシフキ
和歌山県東伏菟野	ワカヤマケンヒガシフドノ
和歌山県東本庄	ワカヤマケンヒガシホンジョウ
和歌山県東又	ワカヤマケンヒガシマタ
和歌山県東三谷	ワカヤマケンヒガシミタニ
和歌山県東山	ワカヤマケンヒガシヤマ
和歌山県東山田	ワカヤマケンヒガシヤマダ
和歌山県東吉田	ワカヤマケンヒガシヨシダ
和歌山県日置	ワカヤマケンヒキ
和歌山県彦ケ瀬	ワカヤマケンヒコガセ
和歌山県彦谷	ワカヤマケンヒコタニ
和歌山県久木	ワカヤマケンヒサギ
和歌山県直柱	ワカヤマケンヒタハシラ
和歌山県日高	ワカヤマケンヒダカ
和歌山県日高川町	ワカヤマケンヒダカガワチョウ
和歌山県日高川町浅間	ワカヤマケンヒダカガワチョウアサマ
和歌山県日高川町愛川	ワカヤマケンヒダカガワチョウアタイガワ
和歌山県日高川町姉子	ワカヤマケンヒダカガワチョウアネコ
和歌山県日高川町伊藤川	ワカヤマケンヒダカガワチョウイトゴ
和歌山県日高川町弥谷	ワカヤマケンヒダカガワチョウイヤダニ
和歌山県日高川町初湯川	ワカヤマケンヒダカガワチョウウブユガワ
和歌山県日高川町江川	ワカヤマケンヒダカガワチョウエカワ
和歌山県日高川町老星	ワカヤマケンヒダカガワチョウオイボシ
和歌山県日高川町大又	ワカヤマケンヒダカガワチョウオオマタ
和歌山県日高川町皆瀬	ワカヤマケンヒダカガワチョウカイゼ
和歌山県日高川町鐘巻	ワカヤマケンヒダカガワチョウカネマキ
和歌山県日高川町上初湯川	ワカヤマケンヒダカガワチョウカミウブユガワ
和歌山県日高川町上越方	ワカヤマケンヒダカガワチョウカミコシカタ
和歌山県日高川町上田原	ワカヤマケンヒダカガワチョウカミタハラ
和歌山県日高川町川原河	ワカヤマケンヒダカガワチョウカワハラゴウ
和歌山県日高川町串本	ワカヤマケンヒダカガワチョウクシモト
和歌山県日高川町熊野川	ワカヤマケンヒダカガワチョウクマノガワ
和歌山県日高川町玄子	ワカヤマケンヒダカガワチョウゲンゴ
和歌山県日高川町小釜本	ワカヤマケンヒダカガワチョウコカモト
和歌山県日高川町小熊	ワカヤマケンヒダカガワチョウコグマ
和歌山県日高川町佐井	ワカヤマケンヒダカガワチョウサイ
和歌山県日高川町坂野川	ワカヤマケンヒダカガワチョウサカノガワ
和歌山県日高川町山野	ワカヤマケンヒダカガワチョウサンヤ
和歌山県日高川町下田原	ワカヤマケンヒダカガワチョウシモタハラ
和歌山県日高川町千津川	ワカヤマケンヒダカガワチョウセンヅガワ
和歌山県日高川町寒川	ワカヤマケンヒダカガワチョウソウガワ
和歌山県日高川町高津尾	ワカヤマケンヒダカガワチョウタカツオ
和歌山県日高川町高津尾川	ワカヤマケンヒダカガワチョウタカツオガワ
和歌山県日高川町滝頭	ワカヤマケンヒダカガワチョウタキガシラ
和歌山県日高川町田尻	ワカヤマケンヒダカガワチョウタジリ
和歌山県日高川町藤野川	ワカヤマケンヒダカガワチョウトウノガワ
和歌山県日高川町中津川	ワカヤマケンヒダカガワチョウナカツカワ
和歌山県日高川町西原	ワカヤマケンヒダカガワチョウニシハラ
和歌山県日高川町入野	ワカヤマケンヒダカガワチョウニュウノ
和歌山県日高川町早藤	ワカヤマケンヒダカガワチョウハイクズ
和歌山県日高川町土生	ワカヤマケンヒダカガワチョウハブ
和歌山県日高川町原日浦	ワカヤマケンヒダカガワチョウハラビウラ
和歌山県日高川町平川	ワカヤマケンヒダカガワチョウヒュウガワ
和歌山県日高川町船津	ワカヤマケンヒダカガワチョウフナツ
和歌山県日高川町蛇尾	ワカヤマケンヒダカガワチョウヘビオ
和歌山県日高川町松瀬	ワカヤマケンヒダカガワチョウマツセ
和歌山県日高川町三佐	ワカヤマケンヒダカガワチョウミザ
和歌山県日高川町三十井川	ワカヤマケンヒダカガワチョウミソイガワ
和歌山県日高川町三十木	ワカヤマケンヒダカガワチョウミソギ
和歌山県日高川町三百瀬	ワカヤマケンヒダカガワチョウミヨセ
和歌山県日高川町若野	ワカヤマケンヒダカガワチョウワカノ
和歌山県日高川町和佐	ワカヤマケンヒダカガワチョウワサ
和歌山県日高町	ワカヤマケンヒダカチョウ
和歌山県日高町阿尾	ワカヤマケンヒダカチョウアオ
和歌山県日高町池田	ワカヤマケンヒダカチョウイケダ
和歌山県日高町荊木	ワカヤマケンヒダカチョウイバラキ
和歌山県日高町産湯	ワカヤマケンヒダカチョウウブユ
和歌山県日高町小池	ワカヤマケンヒダカチョウオイケ
和歌山県日高町小浦	ワカヤマケンヒダカチョウオウラ
和歌山県日高町小坂	ワカヤマケンヒダカチョウオサカ
和歌山県日高町小中	ワカヤマケンヒダカチョウオナカ
和歌山県日高町方杭	ワカヤマケンヒダカチョウカタクイ
和歌山県日高町志賀	ワカヤマケンヒダカチョウシガ
和歌山県日高町高家	ワカヤマケンヒダカチョウタイエ
和歌山県日高町津久野	ワカヤマケンヒダカチョウツクノ
和歌山県日高町萩原	ワカヤマケンヒダカチョウハギワラ
和歌山県日高町原谷	ワカヤマケンヒダカチョウハラダニ
和歌山県日高町比井	ワカヤマケンヒダカチョウヒイ
和歌山県一筋目	ワカヤマケンヒトスジメ
和歌山県日野	ワカヤマケンヒノ
和歌山県樋下	ワカヤマケンヒノシタ
和歌山県姫	ワカヤマケンヒメ
和歌山県姫川	ワカヤマケンヒメガワ
和歌山県日物川	ワカヤマケンヒモノガワ
和歌山県ひや水	ワカヤマケンヒヤミズ
和歌山県平川	ワカヤマケンヒュウガワ
和歌山県平井	ワカヤマケンヒライ
和歌山県平尾	ワカヤマケンヒラオ
和歌山県平岡	ワカヤマケンヒラオカ
和歌山県平瀬	ワカヤマケンヒラセ
和歌山県平野	ワカヤマケンヒラノ
和歌山県平原	ワカヤマケンヒラハラ
和歌山県平沼田	ワカヤマケンヒランタ
和歌山県広	ワカヤマケンヒロ
和歌山県広浦	ワカヤマケンヒロウラ
和歌山県広川町	ワカヤマケンヒロガワチョウ
和歌山県広川町井関	ワカヤマケンヒロガワチョウイセキ
和歌山県広川町上津木	ワカヤマケンヒロガワチョウカミツギ
和歌山県広川町上中野	ワカヤマケンヒロガワチョウカミナカノ
和歌山県広川町唐尾	ワカヤマケンヒロガワチョウカロ
和歌山県広川町河瀬	ワカヤマケンヒロガワチョウゴノセ
和歌山県広川町下津木	ワカヤマケンヒロガワチョウシモツギ
和歌山県広川町殿	ワカヤマケンヒロガワチョウトノ
和歌山県広川町名島	ワカヤマケンヒロガワチョウナシマ
和歌山県広川町西広	ワカヤマケンヒロガワチョウニシヒロ
和歌山県広川町東中	ワカヤマケンヒロガワチョウヒガシナカ
和歌山県広川町広	ワカヤマケンヒロガワチョウヒロ
和歌山県広川町前田	ワカヤマケンヒロガワチョウマエダ
和歌山県広川町南金屋	ワカヤマケンヒロガワチョウミナミカナヤ
和歌山県広川町柳瀬	ワカヤマケンヒロガワチョウヤナセ
和歌山県広川町山本	ワカヤマケンヒロガワチョウヤマモト
和歌山県広川町和田	ワカヤマケンヒロガワチョウワダ
和歌山県広口	ワカヤマケンヒロクチ
和歌山県広瀬通丁	ワカヤマケンヒロセトオリチョウ
和歌山県広瀬中ノ丁	ワカヤマケンヒロセナカノチョウ
和歌山県弘西	ワカヤマケンヒロニシ
和歌山県広野	ワカヤマケンヒロノ
和歌山県広原	ワカヤマケンヒロハラ
和歌山県広道	ワカヤマケンヒロミチ
和歌山県備前	ワカヤマケンビゼン
和歌山県屏風丁	ワカヤマケンビョウブチョウ
和歌山県枇杷谷	ワカヤマケンビワダニ
和歌山県深谷	ワカヤマケンフカタニ
和歌山県吹上	ワカヤマケンフキアゲ
和歌山県吹屋町	ワカヤマケンフキヤチョウ
和歌山県福井	ワカヤマケンフクイ
和歌山県福島	ワカヤマケンフクシマ
和歌山県福田	ワカヤマケンフクダ
和歌山県福町	ワカヤマケンフクマチ
和歌山県福路町	ワカヤマケンフクロマチ
和歌山県吹井	ワカヤマケンフケイ
和歌山県深田	ワカヤマケンフケダ
和歌山県藤井	ワカヤマケンフジイ
和歌山県藤崎	ワカヤマケンフジサキ
和歌山県藤白	ワカヤマケンフジシロ
和歌山県藤田	ワカヤマケンフジタ
和歌山県藤田町藤井	ワカヤマケンフジタチョウフジイ
和歌山県藤田町吉田	ワカヤマケンフジタチョウヨシダ
和歌山県二川	ワカヤマケンフタガワ
和歌山県二筋目	ワカヤマケンフタスジメ
和歌山県府中	ワカヤマケンフチュウ
和歌山県伏菟野	ワカヤマケンフドノ
和歌山県船坂	ワカヤマケンフナサカ
和歌山県舟大工町	ワカヤマケンフナダイクマチ
和歌山県船津	ワカヤマケンフナツ
和歌山県舟津町	ワカヤマケンフナヅチョウ
和歌山県船戸	ワカヤマケンフナト
和歌山県船所	ワカヤマケンフナドコロ
和歌山県船町	ワカヤマケンフナマチ
和歌山県船尾	ワカヤマケンフノオ
和歌山県冬野	ワカヤマケンフユノ
和歌山県古井	ワカヤマケンフルイ
和歌山県古尾	ワカヤマケンフルオ
和歌山県古田	ワカヤマケンフルタ
和歌山県古和田	ワカヤマケンフルワダ
和歌山県伏羊	ワカヤマケンブヨウ
和歌山県蛇尾	ワカヤマケンヘビオ
和歌山県弁財天丁	ワカヤマケンベザイテンチョウ
和歌山県別所	ワカヤマケンベッシヨ
和歌山県別当屋敷町	ワカヤマケンベットウヤシキチョウ
和歌山県別院	ワカヤマケンベツイン
和歌山県蓬莱	ワカヤマケンホウライ
和歌山県宝来町	ワカヤマケンホウライチョウ
和歌山県樮川	ワカヤマケンホクソガワ
和歌山県星尾	ワカヤマケンホシオ
和歌山県星川	ワカヤマケンホシカワ
和歌山県布施屋	ワカヤマケンホシヤ
和歌山県星山	ワカヤマケンホシヤマ
和歌山県細川	ワカヤマケンホソカワ
和歌山県堀口	ワカヤマケンホリグチ
和歌山県堀止西	ワカヤマケンホリドメニシ
和歌山県堀止東	ワカヤマケンホリドメヒガシ
和歌山県堀止南ノ丁	ワカヤマケンホリドメミナミノチョウ
和歌山県保呂	ワカヤマケンホロ
和歌山県本宮町一本松	ワカヤマケンホングウチョウイッポンマツ
和歌山県本宮町請川	ワカヤマケンホングウチョウウケガワ
和歌山県本宮町大居	ワカヤマケンホングウチョウオオイ
和歌山県本宮町大瀬	ワカヤマケンホングウチョウオオゼ
和歌山県本宮町大津荷	ワカヤマケンホングウチョウオオツガ
和歌山県本宮町上大野	ワカヤマケンホングウチョウカミオオノ
和歌山県本宮町上切原	ワカヤマケンホングウチョウカミキリバラ
和歌山県本宮町川湯	ワカヤマケンホングウチョウカワユ
和歌山県本宮町切畑	ワカヤマケンホングウチョウキリハタ
和歌山県本宮町久保野	ワカヤマケンホングウチョウクボノ
和歌山県本宮町小々森	ワカヤマケンホングウチョウコゴモリ
和歌山県本宮町小津荷	ワカヤマケンホングウチョウコツガ
和歌山県本宮町静川	ワカヤマケンホングウチョウシズカワ
和歌山県本宮町下湯川	ワカヤマケンホングウチョウシモユカワ
和歌山県本宮町高山	ワカヤマケンホングウチョウタカヤマ
和歌山県本宮町田代	ワカヤマケンホングウチョウタシロ
和歌山県本宮町土河屋	ワカヤマケンホングウチョウツチゴヤ
和歌山県本宮町野竹	ワカヤマケンホングウチョウノダケ
和歌山県本宮町東和田	ワカヤマケンホングウチョウヒガシワダ
和歌山県本宮町檜葉	ワカヤマケンホングウチョウヒバ
和歌山県本宮町伏拝	ワカヤマケンホングウチョウフシオガミ
和歌山県本宮町武住	ワカヤマケンホングウチョウブジュウ
和歌山県本宮町本宮	ワカヤマケンホングウチョウホングウ
和歌山県本宮町曲川	ワカヤマケンホングウチョウマガリカワ
和歌山県本宮町三越	ワカヤマケンホングウチョウミコシ
和歌山県本宮町皆瀬川	ワカヤマケンホングウチョウミナセガワ
和歌山県本宮町皆地	ワカヤマケンホングウチョウミナチ
和歌山県本宮町簑尾谷	ワカヤマケンホングウチョウミノオダニ
和歌山県本宮町耳打	ワカヤマケンホングウチョウミミウチ
和歌山県本宮町湯峯	ワカヤマケンホングウチョウユノミネ
和歌山県本宮町渡瀬	ワカヤマケンホングウチョウワタゼ
和歌山県本堂	ワカヤマケンホンドウ
和歌山県本町	ワカヤマケンホンマチ
和歌山県坊主丁	ワカヤマケンボウズチョウ
和歌山県卜半町	ワカヤマケンボクハンマチ
和歌山県前田	ワカヤマケンマエダ
和歌山県真国宮	ワカヤマケンマクニミヤ
和歌山県真砂丁	ワカヤマケンマサゴチョウ
和歌山県松井	ワカヤマケンマツイ
和歌山県松江	ワカヤマケンマツエ
和歌山県松江北	ワカヤマケンマツエキタ
和歌山県松江中	ワカヤマケンマツエナカ
和歌山県松江西	ワカヤマケンマツエニシ
和歌山県松江東	ワカヤマケンマツエヒガシ
和歌山県松ケ丘	ワカヤマケンマツガオカ
和歌山県松ケ峰	ワカヤマケンマツガミネ
和歌山県松島	ワカヤマケンマツシマ
和歌山県松瀬	ワカヤマケンマツセ
和歌山県松根	ワカヤマケンマツネ
和歌山県松原	ワカヤマケンマツバラ
和歌山県真砂	ワカヤマケンマナゴ
和歌山県丸山	ワカヤマケンマルヤマ
和歌山県三尾	ワカヤマケンミオ
和歌山県三尾川	ワカヤマケンミオガワ
和歌山県三葛	ワカヤマケンミカズラ
和歌山県三木町台所町	ワカヤマケンミキマチダイドコロマチ
和歌山県三木町中ノ丁	ワカヤマケンミキマチナカノチョウ
和歌山県三木町堀詰	ワカヤマケンミキマチホリヅメ
和歌山県三木町南ノ丁	ワカヤマケンミキマチミナミノチョウ
和歌山県神子浜	ワカヤマケンミコノハマ
和歌山県美里	ワカヤマケンミサト
和歌山県三沢町	ワカヤマケンミサワチョウ
和歌山県三佐	ワカヤマケンミザ
和歌山県短野	ワカヤマケンミジカノ
和歌山県三筋目	ワカヤマケンミスジメ
和歌山県水尻	ワカヤマケンミズシリ
和歌山県水栖	ワカヤマケンミズス
和歌山県三瀬川	ワカヤマケンミセガワ
和歌山県三十井川	ワカヤマケンミソイガワ
和歌山県三十木	ワカヤマケンミソギ
和歌山県美園町	ワカヤマケンミソノチョウ
和歌山県溝川	ワカヤマケンミゾカワ
和歌山県溝ノ口	ワカヤマケンミゾノクチ
和歌山県三田	ワカヤマケンミタ
和歌山県三谷	ワカヤマケンミタニ
和歌山県三石台	ワカヤマケンミツイシダイ
和歌山県満屋	ワカヤマケンミツヤ
和歌山県緑ケ丘	ワカヤマケンミドリガオカ
和歌山県湊	ワカヤマケンミナト
和歌山県湊桶屋町	ワカヤマケンミナトオケヤマチ
和歌山県湊北町	ワカヤマケンミナトキタマチ
和歌山県湊紺屋町	ワカヤマケンミナトコンヤマチ
和歌山県湊御殿	ワカヤマケンミナトゴテン
和歌山県湊通丁北	ワカヤマケンミナトトオリチョウキタ
和歌山県湊通丁南	ワカヤマケンミナトトオリチョウミナミ
和歌山県湊本町	ワカヤマケンミナトホンマチ
和歌山県港町	ワカヤマケンミナトマチ
和歌山県みなべ町	ワカヤマケンミナベチョウ
和歌山県みなべ町市井川	ワカヤマケンミナベチョウイチイガワ
和歌山県みなべ町晩稲	ワカヤマケンミナベチョウオシネ
和歌山県みなべ町気佐藤	ワカヤマケンミナベチョウキサト
和歌山県みなべ町北道	ワカヤマケンミナベチョウキタドウ
和歌山県みなべ町清川	ワカヤマケンミナベチョウキヨカワ
和歌山県みなべ町熊岡	ワカヤマケンミナベチョウクマオカ
和歌山県みなべ町熊瀬川	ワカヤマケンミナベチョウクマセガワ
和歌山県みなべ町堺	ワカヤマケンミナベチョウサカイ
和歌山県みなべ町芝	ワカヤマケンミナベチョウシバ
和歌山県みなべ町島之瀬	ワカヤマケンミナベチョウシマノセ
和歌山県みなべ町筋	ワカヤマケンミナベチョウスジ
和歌山県みなべ町高野	ワカヤマケンミナベチョウタカノ
和歌山県みなべ町滝	ワカヤマケンミナベチョウタキ
和歌山県みなべ町谷口	ワカヤマケンミナベチョウタニグチ
和歌山県みなべ町徳蔵	ワカヤマケンミナベチョウトクゾウ
和歌山県みなべ町土井	ワカヤマケンミナベチョウドイ
和歌山県みなべ町西岩代	ワカヤマケンミナベチョウニシイワシロ
和歌山県みなべ町西本庄	ワカヤマケンミナベチョウニシホンジョウ
和歌山県みなべ町埴田	ワカヤマケンミナベチョウハネタ
和歌山県みなべ町東岩代	ワカヤマケンミナベチョウヒガシイワシロ
和歌山県みなべ町東神野川	ワカヤマケンミナベチョウヒガシコウノガワ
和歌山県みなべ町東本庄	ワカヤマケンミナベチョウヒガシホンジョウ
和歌山県みなべ町東吉田	ワカヤマケンミナベチョウヒガシヨシダ
和歌山県みなべ町広野	ワカヤマケンミナベチョウヒロノ
和歌山県みなべ町南道	ワカヤマケンミナベチョウミナミドウ
和歌山県みなべ町山内	ワカヤマケンミナベチョウヤマウチ
和歌山県南	ワカヤマケンミナミ
和歌山県南相生丁	ワカヤマケンミナミアイオイチョウ
和歌山県南赤坂	ワカヤマケンミナミアカサカ
和歌山県南牛町	ワカヤマケンミナミウシマチ
和歌山県南大池	ワカヤマケンミナミオイケ
和歌山県南大居	ワカヤマケンミナミオオイ
和歌山県南桶屋町	ワカヤマケンミナミオケヤマチ
和歌山県南片原	ワカヤマケンミナミカタハラ
和歌山県南金屋	ワカヤマケンミナミカナヤ
和歌山県南休賀町	ワカヤマケンミナミキュウカマチ
和歌山県南雑賀町	ワカヤマケンミナミサイカマチ
和歌山県南細工町	ワカヤマケンミナミサイクマチ
和歌山県南材木丁	ワカヤマケンミナミザイモクチョウ
和歌山県南志野	ワカヤマケンミナミシノ
和歌山県南新町	ワカヤマケンミナミシンマチ
和歌山県南新万	ワカヤマケンミナミシンマン
和歌山県南甚五兵衛丁	ワカヤマケンミナミジンゴベエチョウ
和歌山県南勢田	ワカヤマケンミナミセイダ
和歌山県南田辺丁	ワカヤマケンミナミタナベチョウ
和歌山県南大工町	ワカヤマケンミナミダイクマチ
和歌山県南谷	ワカヤマケンミナミダニ
和歌山県南中間町	ワカヤマケンミナミチュウゲンマチ
和歌山県南出島	ワカヤマケンミナミデジマ
和歌山県南道	ワカヤマケンミナミドウ
和歌山県南中	ワカヤマケンミナミナカ
和歌山県南畑	ワカヤマケンミナミバタ
和歌山県南馬場	ワカヤマケンミナミババ
和歌山県南檜杖	ワカヤマケンミナミヒヅエ
和歌山県南平野	ワカヤマケンミナミヒラノ
和歌山県南汀丁	ワカヤマケンミナミミギワチョウ
和歌山県南宿	ワカヤマケンミナミヤドリ
和歌山県峰	ワカヤマケンミネ
和歌山県蓑垣内	ワカヤマケンミノガイト
和歌山県箕島	ワカヤマケンミノシマ
和歌山県蓑津呂	ワカヤマケンミノツロ
和歌山県美浜町	ワカヤマケンミハマチョウ
和歌山県美浜町田井	ワカヤマケンミハマチョウタイ
和歌山県美浜町浜ノ瀬	ワカヤマケンミハマチョウハマノセ
和歌山県美浜町三尾	ワカヤマケンミハマチョウミオ
和歌山県美浜町吉原	ワカヤマケンミハマチョウヨシハラ
和歌山県美浜町和田	ワカヤマケンミハマチョウワダ
和歌山県宮	ワカヤマケンミヤ
和歌山県宮川	ワカヤマケンミヤガワ
和歌山県宮崎町	ワカヤマケンミヤザキチョウ
和歌山県宮ノ前	ワカヤマケンミヤノマエ
和歌山県宮原町新町	ワカヤマケンミヤハラチョウシンマチ
和歌山県宮原町須谷	ワカヤマケンミヤハラチョウスガイ
和歌山県宮原町滝	ワカヤマケンミヤハラチョウタキ
和歌山県宮原町滝川原	ワカヤマケンミヤハラチョウタキガハラ
和歌山県宮原町道	ワカヤマケンミヤハラチョウドウ
和歌山県宮原町畑	ワカヤマケンミヤハラチョウハタ
和歌山県宮原町東	ワカヤマケンミヤハラチョウヒガシ
和歌山県深山	ワカヤマケンミヤマ
和歌山県宮本	ワカヤマケンミヤモト
和歌山県みゆき台	ワカヤマケンミユキダイ
和歌山県御幸辻	ワカヤマケンミユキツジ
和歌山県明王寺	ワカヤマケンミョウオウジ
和歌山県妙寺	ワカヤマケンミョウジ
和歌山県明神	ワカヤマケンミョウジン
和歌山県明神川	ワカヤマケンミョウジンガワ
和歌山県明添	ワカヤマケンミョウゾエ
和歌山県三百瀬	ワカヤマケンミヨセ
和歌山県箕六	ワカヤマケンミロク
和歌山県見老津	ワカヤマケンミロヅ
和歌山県三輪崎	ワカヤマケンミワサキ
和歌山県民	ワカヤマケンミン
和歌山県民歌	ワカヤマケンミンカ
和歌山県民文化会館	ワカヤマケンミンブンカカイカン
和歌山県向	ワカヤマケンムカイ
和歌山県向平	ワカヤマケンムカイダイラ
和歌山県向山	ワカヤマケンムカイヤマ
和歌山県向副	ワカヤマケンムカソイ
和歌山県椋木	ワカヤマケンムクノキ
和歌山県六筋目	ワカヤマケンムスジメ
和歌山県六十谷	ワカヤマケンムソタ
和歌山県むつみ	ワカヤマケンムツミ
和歌山県室川	ワカヤマケンムロガワ
和歌山県明洋	ワカヤマケンメイヨウ
和歌山県目良	ワカヤマケンメラ
和歌山県面川	ワカヤマケンメンガワ
和歌山県孟子	ワカヤマケンモウコ
和歌山県元鍛治町	ワカヤマケンモトカジチョウ
和歌山県元寺町	ワカヤマケンモトデラマチ
和歌山県元寺町北ノ丁	ワカヤマケンモトデラマチキタノチョウ
和歌山県元寺町西ノ丁	ワカヤマケンモトデラマチニシノチョウ
和歌山県元寺町東ノ丁	ワカヤマケンモトデラマチヒガシノチョウ
和歌山県元寺町南ノ丁	ワカヤマケンモトデラマチミナミノチョウ
和歌山県元博労町	ワカヤマケンモトバクロウマチ
和歌山県元町	ワカヤマケンモトマチ
和歌山県元町奉行丁	ワカヤマケンモトマチブギョウチョウ
和歌山県本脇	ワカヤマケンモトワキ
和歌山県本渡	ワカヤマケンモトワタリ
和歌山県桃山町市場	ワカヤマケンモモヤマチョウイチバ
和歌山県桃山町大原	ワカヤマケンモモヤマチョウオオバラ
和歌山県桃山町垣内	ワカヤマケンモモヤマチョウカイト
和歌山県桃山町黒川	ワカヤマケンモモヤマチョウクロカワ
和歌山県桃山町神田	ワカヤマケンモモヤマチョウコウダ
和歌山県桃山町善田	ワカヤマケンモモヤマチョウゼンダ
和歌山県桃山町段	ワカヤマケンモモヤマチョウダン
和歌山県桃山町段新田	ワカヤマケンモモヤマチョウダンシンデン
和歌山県桃山町調月	ワカヤマケンモモヤマチョウツカツキ
和歌山県桃山町中畑	ワカヤマケンモモヤマチョウナカハタ
和歌山県桃山町野田原	ワカヤマケンモモヤマチョウノタハラ
和歌山県桃山町峯	ワカヤマケンモモヤマチョウミネ
和歌山県桃山町最上	ワカヤマケンモモヤマチョウモガミ
和歌山県桃山町元	ワカヤマケンモモヤマチョウモト
和歌山県桃山町脇谷	ワカヤマケンモモヤマチョウワキダニ
和歌山県森	ワカヤマケンモリ
和歌山県文里	ワカヤマケンモリ
和歌山県森浦	ワカヤマケンモリウラ
和歌山県森小手穂	ワカヤマケンモリオテボ
和歌山県門前	ワカヤマケンモンゼン
和歌山県屋形町	ワカヤマケンヤカタマチ
和歌山県薬師町	ワカヤマケンヤクシマチ
和歌山県薬勝寺	ワカヤマケンヤクショウジ
和歌山県矢倉脇	ワカヤマケンヤグラワキ
和歌山県安井	ワカヤマケンヤスイ
和歌山県矢田	ワカヤマケンヤタ
和歌山県八尺鏡野	ワカヤマケンヤタガノ
和歌山県柳丁	ワカヤマケンヤナギチョウ
和歌山県柳瀬	ワカヤマケンヤナセ
和歌山県矢野口	ワカヤマケンヤノクチ
和歌山県薮ノ丁	ワカヤマケンヤブノチョウ
和歌山県山	ワカヤマケンヤマ
和歌山県山内	ワカヤマケンヤマウチ
和歌山県山蔭丁	ワカヤマケンヤマカゲチョウ
和歌山県山口	ワカヤマケンヤマグチ
和歌山県山口西	ワカヤマケンヤマグチニシ
和歌山県山崎	ワカヤマケンヤマサキ
和歌山県山崎町	ワカヤマケンヤマサキチョウ
和歌山県山田	ワカヤマケンヤマダ
和歌山県山田原	ワカヤマケンヤマダハラ
